"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"1","Saquon Barkley","NYG","11","RB1","1","1","1","1","1","","1.0"
"2","Christian McCaffrey","CAR","7","RB2","2","2","3","2","3","","2.5"
"3","Alvin Kamara","NO","9","RB3","3","3","2","3","2","","2.5"
"4","Ezekiel Elliott","DAL","8","RB4","4","4","4","4","4","","4.0"
"5","DeAndre Hopkins","ARI","12","WR1","5","6","5","6","5","","5.3"
"6","David Johnson","HOU","10","RB5","6","7","7","5","7","","6.7"
"7","Le'Veon Bell","TB","7","RB6","7","5","9","8","9","","7.5"
"8","Davante Adams","GB","11","WR2","10","10","6","7","6","","7.5"
"9","James Conner","ARI","12","RB7","14","8","8","9","8","","10.3"
"10","Julio Jones","TEN","11","WR3","11","11","11","11","10","","10.5"
"11","Michael Thomas","NO","9","WR4","8","14","10","10","11","","10.7"
"12","Odell Beckham Jr.","LAR","9","WR5","13","12","12","12","16","","12.8"
"13","Todd Gurley II","RB8","9","16","13","14","17","","13.2"
"14","JuJu Smith-Schuster","PIT","7","WR6","15","15","14","15","13","","14.8"
"15","Travis Kelce","KC","12","TE1","16","13","18","13","18","","15.2"
"16","Tyreek Hill","KC","12","WR7","12","18","15","16","15","","15.7"
"17","Nick Chubb","CLE","7","RB9","20","9","17","18","12","","16.0"
"18","Dalvin Cook","MIN","12","RB10","19","17","16","19","14","","18.0"
"19","Joe Mixon","CIN","9","RB11","17","19","20","17","19","","18.0"
"20","Patrick Mahomes II","KC","12","QB1","18","22","19","20","20","","18.8"
"21","Antonio Brown","WR8","21","21","22","21","22","","21.0"
"22","Mike Evans","TB","7 ","WR9","22","20","21","22","21","","21.2"
"23","Adam Thielen","MIN","12","WR10","31","23","25","24","23","","25.0"
"24","Keenan Allen","LAC","12","WR11","23","28","27","23","25","","25.2"
"25","Leonard Fournette","TB","7","RB12","27","26","23","28","24","","25.8"
"26","George Kittle","SF","4","TE2","26","27","32","26","29","","28.2"
"27","Zach Ertz","ARI","12","TE3","29","29","26","25","36","","28.5"
"28","Kerryon Johnson","RB13","30","25","29","29","28","","29.3"
"29","Devonta Freeman","BAL","8","RB14","24","24","34","32","32","","29.8"
"30","Amari Cooper","DAL","8","WR12","25","35","31","33","35","","31.2"
"31","Stefon Diggs","BUF","6","WR13","37","33","28","34","31","","32.2"
"32","Aaron Jones","GB","11","RB15","36","31","30","31","30","","32.3"
"33","Josh Jacobs","LV","","RB16","32","30","33","35","34","","34.2"
"34","Damien Williams","CHI","6","RB17","57","37","24","27","27","","34.3"
"35","Julian Edelman","WR14","28","38","39","38","37","","35.2"
"36","Chris Carson","SEA","11 ","RB18","34","32","37","43","26","","36.5"
"37","Derrick Henry","TEN","11","RB19","33","36","41","37","45","","38.7"
"38","Brandin Cooks","HOU","10","WR15","35","44","35","40","40","","38.8"
"39","T.Y. Hilton","IND","6","WR16","44","45","42","30","51","","40.7"
"40","Robert Woods","LAR","9","WR17","39","50","44","39","42","","41.8"
"41","Marlon Mack","IND","6","RB20","58","34","40","36","49","","42.5"
"42","Melvin Gordon III","DEN","10","RB21","40","57","36","67","43","","44.2"
"43","Deshaun Watson","HOU","10","QB2","38","52","38","48","47","","44.3"
"44","Kenny Golladay","NYG","11","WR18","45","39","50","41","48","","44.5"
"45","Mark Ingram II","NO","9","RB22","42","43","45","46","41","","44.5"
"46","David Montgomery","CHI","6","RB23","41","41","43","49","33","","45.3"
"47","Chris Godwin","TB","7","WR19","51","42","48","45","39","","46.0"
"48","Tyler Lockett","SEA","11","WR20","47","48","46","47","44","","46.2"
"49","Sony Michel","LAR","9","RB24","48","40","47","66","38","","48.0"
"50","Cooper Kupp","LAR","9","WR21","46","47","54","44","46","","49.0"
"51","Aaron Rodgers","GB","11","QB3","43","55","49","57","57","","50.5"
"52","James White","NE","10","RB25","54","49","53","51","50","","53.3"
"53","Phillip Lindsay","MIA","5","RB26","62","46","51","58","58","","54.7"
"54","Tyler Boyd","CIN","9","WR22","64","51","55","50","52","","55.7"
"55","Evan Engram","NYG","11 ","TE4","50","61","64","61","59","","57.2"
"56","O.J. Howard","TB","7","TE5","56","60","57","62","56","","57.5"
"57","Calvin Ridley","ATL","9 ","WR23","61","53","52","55","55","","58.0"
"58","Baker Mayfield","CLE","7","QB4","53","68","58","68","65","","59.7"
"59","Mike Williams","LAC","12","WR24","55","63","56","59","62","","61.7"
"60","A.J. Green","ARI","12 ","WR25","77","71","70","42","67","","64.5"
"61","Hunter Henry","NE","10","TE6","65","72","67","65","66","","64.5"
"62","DJ Moore","CAR","7","WR26","60","65","60","53","69","","64.7"
"63","Jarvis Landry","CLE","7","WR27","73","70","59","54","68","","65.2"
"64","Matt Ryan","ATL","9","QB5","49","76","61","88","71","","67.3"
"65","Alshon Jeffery ","WR28","52","73","62","60","73","","67.7"
"66","Tarik Cohen","CHI","6","RB27","81","56","63","56","74","","68.3"
"67","Tevin Coleman","NYJ","4","RB28","78","54","65","63","60","","68.7"
"68","Austin Ekeler","LAC","12","RB29","84","59","69","52","63","","70.8"
"69","Jared Cook","LAC","12","TE7","59","82","77","77","72","","71.3"
"70","Allen Robinson II","CHI","6","WR29","67","67","68","64","80","","72.5"
"71","Miles Sanders","PHI","10","RB30","79","58","76","76","61","","73.5"
"72","Josh Gordon","KC","12","WR30","63","69","74","69","54","","74.5"
"73","Kenyan Drake","LV","","RB31","70","75","83","71","84","","76.7"
"74","Duke Johnson Jr.","MIA","5","RB32","68","62","72","92","53","","77.2"
