"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"75","Robby Anderson","CAR","7","WR31","80","78","71","70","78","","78.3"
"76","Drew Brees","QB6","66","99","81","95","75","","78.5"
"77","Derrius Guice ","RB33","76","66","66","94","70","","78.8"
"78","Carson Wentz","IND","6","QB7","72","84","75","89","76","","81.0"
"79","Chicago Bears","DST","6","DST1","69","100","94","84","97","","83.7"
"80","Vance McDonald","TE8","83","94","86","96","77","","84.2"
"81","Sammy Watkins","BAL","8","WR32","74","88","90","72","100","","84.5"
"82","Russell Wilson","SEA","11","QB8","92","95","78","97","90","","84.7"
"83","Dede Westbrook","MIN","12","WR33","82","81","85","81","64","","85.5"
"84","Cam Newton","CAR","7 ","QB9","71","98","88","102","95","","86.7"
"85","Will Fuller V","MIA","5","WR34","104","74","82","73","85","","86.8"
"86","Sterling Shepard","NYG","11","WR35","75","89","79","83","94","","87.7"
"87","Jared Goff","DET","5","QB10","97","91","93","91","82","","88.3"
"88","Christian Kirk","ARI","12","WR36","94","86","98","74","93","","92.0"
"89","David Njoku","CLE","7","TE9","87","87","102","108","83","","92.3"
"90","Latavius Murray","BAL","8","RB34","106","79","95","87","79","","93.2"
"91","Corey Davis","NYJ","4","WR37","111","77","73","75","116","","94.8"
"92","Marvin Jones Jr.","JAC","10 ","WR38","91","103","91","86","108","","96.3"
"93","Emmanuel Sanders","BUF","6","WR39","88","93","84","104","81","","97.8"
"94","Curtis Samuel","WAS","10","WR40","100","90","103","93","91","","98.7"
"95","Jordan Howard","PHI","10","RB35","121","83","80","80","107","","99.2"
"96","LeSean McCoy","RB36","109","85","100","100","92","","99.2"
"97","Larry Fitzgerald","WR41","102","101","87","79","111","","100.2"
"98","Eric Ebron","PIT","7 ","TE10","144","97","96","78","123","","101.8"
"99","Rashaad Penny","SEA","11 ","RB37","108","96","92","118","99","","102.5"
"100","Ben Roethlisberger","PIT","7 ","QB11","89","106","104","122","109","","106.7"
"101","Darrell Henderson Jr.","LAR","9","RB38","132","108","115","85","96","","106.8"
"102","Los Angeles Rams","DST","9","DST2","95","132","132","107","112","","107.0"
"103","Dante Pettis","NYG","11","WR42","124","107","99","90","114","","107.5"
"104","Matt Breida","BUF","6","RB39","98","80","108","126","88","","108.0"
"105","Devin Singletary","BUF","6","RB40","101","64","101","131","87","","108.8"
"106","Royce Freeman","HOU","10","RB41","103","102","116","101","113","","109.5"
"107","Courtland Sutton","DEN","10","WR43","120","92","97","82","134","","111.7"
"108","Austin Hooper","CLE","7","TE11","99","123","106","146","98","","114.0"
"109","Greg Zuerlein","DAL","8","K1","86","144","123","115","149","","114.7"
"110","Kyler Murray","ARI","12","QB12","110","117","117","106","115","","114.7"
"111","Marquez Valdes-Scantling","GB","11","WR44","126","104","114","110","104","","115.0"
"112","Tom Brady","TB","7","QB13","93","136","110","143","119","","116.3"
"113","Kareem Hunt","CLE","7","RB42","139","126","107","98","103","","117.2"
"114","Lamar Jackson","BAL","8","QB14","119","115","113","132","101","","118.2"
"115","Jacksonville Jaguars","DST","10","DST3","90","142","140","155","110","","118.5"
"116","Delanie Walker ","TE12","105","109","112","135","117","","119.5"
"117","Geronimo Allison","WR45","146","119","109","105","102","","119.8"
"118","Justin Tucker","BAL","8","K2","96","139","135","129","156","","122.2"
"119","Peyton Barber","LV","","RB43","123","125","111","111","137","","122.2"
"120","James Washington","PIT","7","WR46","118","121","130","103","105","","123.2"
"121","Dak Prescott","DAL","8","QB15","85","146","120","145","132","","125.8"
"122","Jameis Winston","NO","9","QB16","154","113","105","116","106","","126.5"
"123","Philip Rivers","QB17","137","128","128","130","122","","126.5"
"124","DeSean Jackson","LV"," ","WR47","128","143","133","113","127","","130.7"
"125","Minnesota Vikings","DST","12","DST4","115","150","154","142","139","","130.8"
"126","Michael Gallup","DAL","8","WR48","112","116","129","133","118","","131.2"
"127","Baltimore Ravens","DST","8","DST5","167","133","141","161","121","","132.2"
"128","Harrison Butker","KC","12","K3","116","153","145","144","157","","132.8"
"129","Los Angeles Chargers","DST","12","DST6","135","157","138","156","144","","133.0"
"130","Tony Pollard","DAL","8","RB44","141","112","118","164","86","","134.3"
"131","Kalen Ballage","PIT","7 ","RB45","164","111","134","124","120","","134.3"
"132","Donte Moncrief","HOU","10","WR49","131","134","121","138","126","","134.3"
"133","Jaylen Samuels","HOU","10","RB46","173","120","122","120","124","","135.0"
"134","Golden Tate","WR50","148","129","146","119","128","","138.0"
"135","Wil Lutz","NO","9","K4","114","165","160","162","169","","141.5"
"136","Dion Lewis","RB47","158","105","139","109","148","","142.5"
"137","Greg Olsen","TE13","133","151","136","139","155","","143.3"
"138","D.K. Metcalf","SEA","11","WR51","138","167","144","136","136","","144.7"
"139","Adrian Peterson","SEA","11","RB48","184","140","126","127","142","","145.5"
"140","Kyle Rudolph","NYG","11","TE14","147","147","124","166","160","","146.2"
"141","Kirk Cousins","MIN","12","QB18","157","130","137","149","138","","146.2"
"142","Stephen Gostkowski ","K5","122","160","166","176","170","","146.3"
"143","Mark Andrews","BAL","8","TE15","149","124","150","150","150","","146.3"
"144","Justin Jackson","LAC","12","RB49","183","114","142","99","125","","146.8"
"145","Tyrell Williams","WR52","142","131","156","125","140","","147.5"
"146","Mitchell Trubisky","BUF","6","QB19","130","148","148","153","147","","147.5"
"147","Keke Coutee","IND","6","WR53","143","145","159","141","154","","148.5"
"148","Darwin Thompson","RB50","153","154","125","167","89","","148.7"
"149","Anthony Miller","PIT","7","WR54","155","137","147","112","141","","148.7"
"150","Ronald Jones II","TB","7","RB51","170","127","155","128","172","","149.2"
"151","T.J. Hockenson","DET","5 ","TE16","176","149","131","157","131","","153.0"
"152","Carlos Hyde","JAC","10","RB52","174","118","168","148","158","","155.7"
"153","Denver Broncos","DST","10","DST7","163","171","176","140","153","","155.7"
"154","Nyheim Hines","IND","6","RB53","134","110","167","117","176","","156.3"
"155","Jordan Reed","TE17","151","159","165","168","167","","156.3"
"156","Ka'imi Fairbairn","HOU","10","K6","125","169","180","197","177","","157.2"
"157","Jamison Crowder","NYJ","4","WR55","117","155","152","151","135","","157.5"
"158","New England Patriots","DST","10","DST8","136","175","174","189","164","","159.5"
"159","John Brown","TB","7","WR56","166","135","127","154","143","","161.2"
"160","Cleveland Browns","DST","7","DST9","150","168","178","228","130","","163.2"
"161","Houston Texans","DST","10","DST10","181","172","175","171","182","","163.5"
"162","Justice Hill","BAL","8","RB54","196","122","143","152","129","","163.7"
"163","Jimmy Garoppolo","SF","4","QB20","179","170","162","169","152","","165.3"
"164","Mecole Hardman","KC","12","WR57","201","174","185","147","145","","170.3"
"165","Josh Allen","BUF","6","QB21","190","163","158","183","151","","171.5"
"166","Robbie Gould","SF","4","K7","140","196","181","238","186","","172.8"
"167","Damien Harris","NE","10","RB55","236","178","173","121","161","","174.5"
"168","Alexander Mattison","MIN","12","RB56","208","141","157","160","133","","176.7"
"169","Dallas Cowboys","DST","8","DST11","172","176","202","223","146","","176.7"
"170","Mohamed Sanu Sr.","SF","4","WR58","152","227","161","170","180","","177.5"
"171","Derek Carr","LV","","QB22","169","177","172","202","166","","178.0"
"172","Philadelphia Eagles","DST","10","DST12","127","194","211","271","171","","179.7"
"173","Matthew Stafford","LAR","9 ","QB23","193","182","171","208","178","","188.2"
"174","Darren Waller","LV","","TE18","194","161","170","210","173","","189.0"
"175","Sam Darnold","CAR","7","QB24","192","197","169","194","184","","190.3"
"176","Deebo Samuel","SF","4","WR59","225","211","184","165","159","","194.3"
"177","Trey Burton ","TE19","129","164","149","137","","","144.2"
"178","Jake Elliott","PHI","10","K8","168","214","221","257","181","","196.0"
"179","Buffalo Bills","DST","6","DST13","113","224","210","265","185","","196.7"
"180","Seattle Seahawks","DST","11","DST14","186","187","186","282","179","","198.5"
"181","Michael Badgley","IND","6","K9","160","218","233","249","188","","200.0"
"182","Mason Crosby","GB","11","K10","180","213","229","252","187","","200.8"
"183","Cole Beasley","BUF","6","WR60","191","180","220","233","168","","201.2"
"184","Ito Smith","DAL","8 ","RB57","1000","138","163","134","163","","295.2"
"185","Jimmy Graham","CHI","6","TE20","156","162","151","158","","","157.6"
"186","Demaryius Thomas","WR61","207","190","232","219","174","","207.0"
"187","New Orleans Saints","DST","9","DST15","107","185","194","192","","","162.8"
"188","Brett Maher","NO","9","K11","175","216","234","281","189","","210.3"
"189","N'Keal Harry","NE","10","WR62","203","203","164","114","","","163.6"
"190","Jason Myers","SEA","11","K12","264","186","223","288","190","","221.3"
"191","Ty Montgomery","NO","9","RB58","214","206","213","260","165","","226.3"
"192","Adam Humphries","WAS","10","WR63","161","181","214","172","","","187.2"
"193","Marquise Goodwin","CHI","6","WR64","547","152","197","232","175","","250.2"
"194","Jack Doyle","IND","6","TE21","162","225","187","188","","","191.2"
"195","Marquise Brown","BAL","8","WR65","187","204","198","177","","","191.6"
"196","Jalen Richard","LV","","RB59","145","173","215","184","","","193.2"
"197","Tre'Quan Smith","NO","9","WR66","1000","189","196","180","183","","328.8"
"198","Kansas City Chiefs","DST","12","DST16","195","205","207","215","","","195.8"
"199","Pittsburgh Steelers","DST","7","DST17","171","231","206","227","","","197.0"
"200","Jason Witten","TE22","188","220","177","236","","","197.0"
"201","Kenny Stills","NO","9","WR67","177","226","199","175","","","197.8"
"202","Noah Fant","DEN","10","TE23","217","193","195","196","","","197.8"
"203","Nick Foles","CHI","6","QB25","199","232","189","214","","","204.6"
"204","C.J. Anderson","RB60","224","179","204","187","","","206.2"
"205","Giovani Bernard","TB","7","RB61","178","183","188","216","","","207.6"
"206","Dallas Goedert","PHI","10","TE24","253","200","183","200","","","208.2"
"207","Adam Vinatieri ","K13","197","256","227","270","","","208.8"
"208","Albert Wilson","MIA","5","WR68","182","158","235","222","","","208.8"
"209","Randall Cobb","GB","11","WR69","210","237","252","178","","","216.0"
"210","Ted Ginn Jr.","WR70","205","228","193","244","","","216.2"
"211","Tyler Eifert","TE25","213","199","205","267","","","216.6"
"212","Frank Gore","RB62","185","166","230","275","","","220.0"
"213","Marcus Mariota","LV","","QB26","215","269","203","185","","","220.0"
"214","Matt Prater","ARI","12","K14","189","248","219","284","","","224.2"
"215","Devin Funchess ","WR71","1000","207","190","123","","","339.2"
"216","DaeSean Hamilton","DEN","10","WR72","221","238","240","163","","","230.6"
"217","Jacoby Brissett","MIA","5","QB27","198","215","179","315","","","233.2"
"218","Green Bay Packers","DST","11","DST18","216","272","264","230","","","234.4"
"219","Tennessee Titans","DST","11","DST19","165","267","231","290","","","235.4"
"220","Chris Herndon IV","MIN","12 ","TE26","1000","192","200","173","","","349.0"
"221","Aldrick Rosas","DET","5","K15","227","261","238","313","","","242.2"
"222","San Francisco 49ers","DST","4","DST20","226","262","265","269","","","243.4"
"223","Joe Flacco","NYJ","4 ","QB28","218","247","209","333","","","245.2"
"224","Indianapolis Colts","DST","6","DST21","209","268","239","305","","","246.0"
"225","Chris Thompson","RB63","812","156","182","179","","","319.4"
"226","Andy Dalton","CHI","6","QB29","259","240","191","286","","","246.6"
"227","Chris Boswell","PIT","7","K16","248","242","257","303","","","247.2"
"228","Matt Bryant","K17","159","235","208","399","","","248.4"
"229","Carolina Panthers","DST","7","DST22","202","273","261","318","","","249.4"
"230","Parris Campbell","IND","6 ","WR73","1000","208","218","159","","","360.2"
"231","Brandon McManus","DEN","10","K18","219","255","245","330","","","250.2"
"232","DeVante Parker","MIA","5","WR74","1000","209","153","195","","","365.4"
"233","New York Jets","DST","4","DST23","237","258","242","331","","","255.0"
"234","Malcolm Brown","MIA","5","RB64","1000","188","222","263","162","","367.0"
"235","Jamaal Williams","DET","5","RB65","1000","195","201","199","","","367.6"
"236","Jay Ajayi","RB66","305","201","303","234","","","260.2"
"237","Mike Davis","ATL","9","RB67","1000","184","253","186","","","377.2"
"238","Stephen Hauschka","K19","244","217","256","418","","","274.2"
"239","Nelson Agholor","NE","10","WR75","1000","246","248","207","","","386.2"
"240","Zay Jones","LV","","WR76","1000","191","246","201","","","386.4"
"241","Atlanta Falcons","DST","9","DST24","239","","228","240","","","233.5"
"242","Dan Bailey","K20","955","221","255","307","","","385.0"
"243","T.J. Yeldon","RB68","1000","223","275","204","","","397.4"
"244","Paul Richardson Jr. ","WR77","200","263","282","243","","","247.0"
"245","Eli Manning","QB30","223","","244","308","","","248.0"
"246","Andy Isabella","ARI","12","WR78","1000","257","249","209","","","398.6"
"247","Taylor Gabriel","WR79","1000","219","301","239","","","401.4"
"248","Benjamin Watson","TE27","246","","289","272","","","255.0"
"249","Marqise Lee","WR80","1000","260","247","229","","","404.0"
"250","Phillip Dorsett II","HOU","10","WR81","346","234","294","334","","","293.6"
"251","Mike Gesicki","MIA","5","TE28","1000","249","278","245","","","407.6"
"252","Rashard Higgins","CLE","7","WR82","951","210","266","287","","","398.8"
"253","Danny Amendola","HOU","10","WR83","1000","241","281","301","","","409.2"
"254","Daniel Jones","NYG","11","QB31","258","","226","304","","","263.3"
"255","Washington Football Team","DST","10","DST25","996","270","271","283","","","409.8"
"256","Detroit Lions","DST","5","DST26","977","265","267","292","","","406.6"
"257","A.J. Brown","TEN","11","WR84","1000","","217","181","","","403.0"
"258","Rex Burkhead","HOU","10","RB69","982","222","296","297","","","408.4"
"259","Hunter Renfrow","LV","","WR85","230","266","277","293","","","266.5"
"260","Dare Ogunbowale","JAC","10","RB70","1000","198","241","182","","","405.3"
"261","J.J. Arcega-Whiteside","PHI","10","WR86","990","239","216","174","","","404.8"
"262","Chase Edmonds","ARI","12","RB71","1000","202","224","205","","","407.8"
"263","Jalen Hurd","WR87","311","","273","218","","","269.5"
"264","Ryan Succop","TB","7 ","K21","1000","264","250","368","","","418.4"
"265","Dwayne Haskins","PIT","7","QB32","958","","225","203","","","406.3"
"266","Gerald Everett","SEA","11","TE29","1000","274","299","294","","","426.8"
"267","Ryquell Armstead","JAC","10","RB72","1000","229","269","193","","","422.8"
"268","Quincy Enunwa ","WR88","1000","230","254","212","","","424.0"
"269","Giorgio Tavecchio","TEN","11","K22","1000","","237","246","","","429.0"
"270","Miles Boykin","BAL","8","WR89","988","245","236","242","","","427.8"
"271","Josh Lambo","K23","282","","262","375","","","292.5"
"272","Irv Smith Jr.","MIN","12","TE30","949","212","259","253","","","418.3"
"273","Gus Edwards","BAL","8","RB73","1000","233","251","248","","","433.0"
"274","Preston Williams","MIA","5 ","WR90","1000","259","272","220","","","437.8"
"275","New York Giants","DST","11","DST27","245","","286","","","","254.0"
"276","Jakobi Meyers","NE","10","WR91","1000","251","263","259","","","443.3"
"277","Eddy Pineiro","NYJ","4","K24","233","","","255","","","258.3"
"278","Trey Quinn ","WR92","1000","254","268","256","","","444.5"
"279","Antonio Callaway ","WR93","993","","308","206","","","444.5"
"280","Willie Snead IV","CAR","7","WR94","1000","","243","261","","","449.0"
"281","Ian Thomas","CAR","7","TE31","948","","300","221","","","439.5"
"282","Ryan Fitzpatrick","WAS","10","QB33","950","","260","296","","","446.3"
"283","Las Vegas Raiders","DST","","DST28","222","","","397","","","280.0"
"284","Miami Dolphins","DST","5","DST29","228","","","365","","","282.0"
"285","David Moore","GB","11","WR95","998","","305","262","","","463.3"
"286","Dez Bryant","WR96","278","","","291","","","286.3"
"287","Demarcus Robinson","KC","12","WR97","310","","","276","","","286.7"
"288","John Ross","NYG","11","WR98","1000","","290","279","","","466.8"
"289","Marshawn Lynch","RB74","235","","","387","","","292.0"
"290","Matt LaCosse","NE","10","TE32","985","","304","274","","","465.5"
"291","Dustin Hopkins","LAC","12","K25","220","","","409","","","295.0"
"292","Wayne Gallman Jr.","MIN","12","RB75","999","244","297","344","","","471.0"
"293","Robert Foster","DAL","8","WR99","1000","253","","190","","","481.0"
"294","Joey Slye","WAS","10","K26","243","271","","377","","","297.0"
"295","Alfred Morris","NYG","11","RB76","987","236","","217","","","480.0"
"296","Jason Sanders","MIA","5","K27","265","","","381","","","303.3"
"297","Matt Gay","LAR","9","K28","1000","252","","235","","","495.7"
"298","Dontrell Hilliard","TEN","11","RB77","1000","","279","213","","","497.3"
"299","Jesse James","CHI","6","TE33","308","","","355","","","313.3"
"300","Arizona Cardinals","DST","12","DST30","981","","","250","","","492.3"
"301","Chris Hogan","WR100","312","","","342","","","316.3"
"302","Taysom Hill","NO","9","QB34","249","","","424","","","318.7"
"303","Antonio Gates","TE34","240","","","","","","260.5"
"304","Austin Seibert","DET","5","K29","959","243","","280","","","494.0"
"305","Benny Snell Jr.","PIT","7","RB78","991","","298","226","","","505.0"
"306","Christian Wade","RB79","232","","","","","","262.5"
"307","Tampa Bay Buccaneers","DST","7","DST31","261","","","","","","265.0"
"308","Darren Sproles ","RB80","989","","295","431","","","492.5"
"309","Zane Gonzalez","CAR","7","K30","280","","","423","","","329.7"
"310","Josh Rosen","ATL","9","QB35","1000","","258","299","","","519.0"
"311","KeeSean Johnson","PHI","10","WR101","995","","283","277","","","518.3"
"312","Darius Jackson","RB81","358","","","224","","","291.0"
"313","Josh Doctson","WR102","1000","","288","295","","","527.7"
"314","Riley Ridley","WR103","299","","","285","","","292.0"
"315","Jordan Thomas","TE35","1000","","","314","","","528.7"
"316","D.J. Chark Jr.","JAC","10","WR104","1000","","285","306","","","530.3"
"317","Greg Joseph","MIN","12","K31","335","","","416","","","349.3"
"318","D'Onta Foreman","TEN","11","RB82","374","","","440","","","350.7"
"319","Case Keenum","CLE","7","QB36","1000","","280","327","","","535.7"
"320","James Develin ","RB83","340","","","268","","","304.0"
"321","Travis Benjamin","SF","4","WR105","964","","309","302","","","525.0"
"322","Chris Conley","HOU","10","WR106","1000","","307","309","","","538.7"
"323","Alfred Blue","RB84","992","","302","317","","","537.0"
"324","Cameron Brate","TB","7","TE36","974","","270","352","","","532.0"
"325","Cincinnati Bengals","DST","9","DST32","329","","","","","","312.5"
"326","Michael Crabtree","WR107","971","","293","343","","","535.7"
"327","Kelvin Harmon","WAS","10","WR108","937","","","191","","","564.0"
"328","Blake Jarwin","DAL","8","TE37","306","","","332","","","319.0"
"329","Chris Moore","HOU","10","WR109","941","","192","","","","566.5"
"330","Cordarrelle Patterson","ATL","9","RB85","293","","","346","","","319.5"
"331","Tyler Higbee","LAR","9","TE38","381","","","","","","321.5"
"332","Brian Hill","SF","4","RB86","934","","","198","","","566.0"
"333","Will Dissly","SEA","11 ","TE39","1000","","276","374","","","550.0"
"334","Breshad Perriman","TB","7","WR110","1000","","310","347","","","552.3"
"335","Cameron Artis-Payne","RB87","952","","","211","","","581.5"
"336","Gunner Olszewski","NE","10","WR111","289","","","370","","","329.5"
"337","Daniel Carlson","LV","","K32","978","","","407","","","545.7"
"338","C.J. Uzomah","CIN","9","TE40","957","","306","357","","","540.0"
"339","Jakeem Grant Sr.","CHI","6","WR112","251","","","413","","","332.0"
"340","Jake Kumerow","BUF","6","WR113","270","","","400","","","335.0"
"341","Ricky Seals-Jones","WAS","10","TE41","372","","","298","","","335.0"
"342","Blake Bortles","NO","9","QB37","304","","","366","","","335.0"
"343","Devine Ozigbo","NE","10","RB88","972","","","225","","","598.5"
"344","LeGarrette Blount","RB89","288","","","385","","","336.5"
"345","Keelan Doss","WR114","229","","","","","","229.0"
"346","Terry McLaurin","WAS","10","WR115","1000","","287","389","","","558.7"
"347","Jazz Ferguson","WR116","231","","","","","","231.0"
"348","Dexter Williams","CLE","7","RB90","1000","","","231","","","615.5"
"349","Damion Willis","WR117","276","","","406","","","341.0"
"350","Theo Riddick","RB91","1000","","","237","","","618.5"
"351","Nick Novak","K33","238","","","","","","238.0"
"352","Jay Cutler","QB38","241","","","","","","241.0"
"353","Damon Sheehy-Guiseppi","WR118","","","","241","","","241.0"
"354","Nathan Peterman","LV","","QB39","242","","","","","","242.0"
"355","Taylor Bertolet","K34","247","","","","","","247.0"
"356","Alex Barnes","RB92","309","","","384","","","346.5"
"357","Darrel Williams","KC","12 ","RB93","669","","","247","","","458.0"
"358","Brandon Marshall","WR119","250","","","","","","250.0"
"359","Vernon Davis","TE42","968","","292","404","","","554.7"
"360","Chandler Catanzaro","K35","415","","","","","","348.5"
"361","Geoff Swaim","TEN","11","TE43","960","","","251","","","605.5"
"362","Mike Thomas","CIN","9","WR120","252","","","","","","252.0"
"363","Bruce Anderson III","RB94","754","","","254","","","504.0"
"364","Sam Bradford","QB40","255","","","","","","255.0"
"365","Lil'Jordan Humphrey","NO","9","WR121","257","","","","","","257.0"
"366","Maurice Harris","WR122","716","","","258","","","487.0"
"367","Josh Hill","TE44","279","","","426","","","352.5"
"368","Max McCaffrey","WR123","260","","","","","","260.0"
"369","Cody Parkey","K36","262","","","","","","262.0"
"370","Jonnu Smith","NE","10","TE45","397","","311","","","","354.0"
"371","C.J. Conrad","TE46","263","","","","","","263.0"
"372","Robert Griffin III","QB41","307","","","402","","","354.5"
"373","Qadree Ollison","ATL","9","RB95","1000","","","264","","","632.0"
"374","Trayveon Williams","CIN","9","RB96","983","","","266","","","624.5"
"375","Blake Bell","KC","12","TE47","267","","","","","","267.0"
"376","Glenn Gronkowski","RB97","268","","","","","","268.0"
"377","Jake Butt","TE48","269","","","","","","269.0"
"378","Tavon Austin","JAC","10","WR124","297","","","419","","","358.0"
"379","Matt Barkley","ATL","9","QB42","271","","","","","","271.0"
"380","Anthony Fasano","TE49","272","","","","","","272.0"
"381","Connor Barth","K37","323","","","395","","","359.0"
"382","Younghoe Koo","ATL","9","K38","273","","","","","","273.0"
"383","Anthony Johnson","DT1","274","","","","","","274.0"
"384","Tyree Jackson","PHI","10","TE50","275","","","","","","275.0"
"385","Tyre Brady","WR125","277","","","","","","277.0"
"386","Josh Reynolds","DET","5","WR126","828","","","278","","","553.0"
"387","Matt Forte","RB98","281","","","","","","281.0"
"388","Nick Vannett","NO","9","TE51","354","","","373","","","363.5"
"389","Trace McSorley","ARI","12","QB43","317","","","411","","","364.0"
"390","Mike Nugent","K39","283","","","","","","283.0"
"391","Damarea Crockett","DEN","10","RB99","1000","","284","","","","642.0"
"392","Brandon Tate","WR127","285","","","","","","285.0"
"393","Wendell Smallwood","WAS","10","RB100","390","","","341","","","365.5"
"394","Kaare Vedvik","K40","287","","","","","","287.0"
"395","J.J. Jones","WR128","290","","","","","","290.0"
"396","Emmanuel Butler","WR129","291","","","","","","291.0"
