"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"81","Kirk Cousins","MIN","9","QB7","74","","99","91","87","","84.4"
"82","Paul Perkins","RB33","88","","88","68","86","","84.6"
"83","Jeremy Maclin","WR34","86","","81","101","80","","84.6"
"84","Willie Snead IV","CAR","11","WR35","119","","61","75","96","","84.8"
"85","Marcus Mariota","LV","","QB8","92","","91","93","79","","84.8"
"86","Derek Carr","LV","","QB9","76","","96","94","77","","85.2"
"87","Cam Newton","CAR","11","QB10","61","","98","103","90","","86.8"
"88","DeSean Jackson","LV","","WR36","80","","79","105","92","","87.2"
"89","Martellus Bennett","TE10","85","","94","74","97","","89.8"
"90","Derrick Henry","TEN","8","RB34","130","","76","69","78","","90.0"
"91","Eric Decker","WR37","87","","95","89","91","","90.4"
"92","Randall Cobb","GB","8","WR38","94","","86","88","94","","90.6"
"93","Duke Johnson Jr.","MIA","1","RB35","104","","90","80","95","","92.8"
"94","Tyrell Williams","WR39","112","","82","84","99","","93.0"
"95","Terrance West","RB36","84","","97","109","89","","95.4"
"96","Andrew Luck","QB11","110","","92","104","107","","99.6"
"97","Adam Thielen","MIN","9","WR40","108","","103","90","102","","100.8"
"98","Eddie Lacy","RB37","91","","106","96","111","","101.6"
"99","LeGarrette Blount","RB38","106","","107","97","93","","102.6"
"100","Darren McFadden","RB39","93","","104","137","81","","103.0"
"101","Chris Hogan","WR41","99","","122","129","76","","103.6"
"102","Ben Roethlisberger","PIT","9","QB12","102","","110","102","104","","104.0"
"103","Hunter Henry","NE","9","TE11","120","","100","92","106","","106.2"
"104","James White","NE","9","RB40","118","","117","95","103","","107.8"
"105","Corey Coleman","WR42","132","","105","98","101","","109.0"
"106","Dak Prescott","DAL","6","QB13","73","","112","118","113","","109.8"
"107","Matthew Stafford","LAR","8","QB14","98","","116","99","115","","113.6"
"108","Thomas Rawls","RB41","124","","115","108","98","","114.2"
"109","Marvin Jones Jr.","JAC","8","WR43","137","","108","110","108","","117.2"
"110","Jonathan Stewart","RB42","113","","124","122","105","","117.6"
"111","Rishard Matthews","WR44","121","","123","120","116","","119.6"
"112","Philip Rivers","QB15","123","","119","114","109","","120.4"
"113","Jordan Matthews","SF","11","WR45","136","","111","128","121","","120.6"
"114","Matt Forte","RB43","109","","134","113","129","","121.4"
"115","Eric Ebron","PIT","9","TE12","154","","113","107","122","","121.6"
"116","Darren Sproles","RB44","122","","129","126","114","","121.6"
"117","John Brown","TB","1","WR46","149","","114","121","110","","121.8"
"118","Donte Moncrief","HOU","7","WR47","103","","83","72","","","84.0"
"119","Jack Doyle","IND","11","TE13","133","","121","124","132","","127.4"
"120","Stephen Gostkowski","K1","96","","151","127","137","","127.8"
"121","Justin Tucker","BAL","10","K2","100","","145","133","135","","128.4"
"122","C.J. Prosise","RB45","153","","126","116","127","","129.4"
"123","Jacquizz Rodgers","RB46","146","","137","136","100","","131.0"
"124","Ted Ginn Jr.","WR48","128","","120","155","112","","131.4"
"125","Eli Manning","QB16","127","","132","131","128","","137.2"
"126","Jason Witten","TE14","117","","143","156","136","","138.0"
"127","Andy Dalton","CHI","9","QB17","141","","125","143","124","","138.4"
"128","Kevin White","NO","5","WR49","145","","142","141","123","","138.8"
"129","Jamaal Charles","RB47","161","","161","115","118","","140.4"
"130","Kenny Britt","WR50","111","","109","100","","","106.3"
"131","Mike Wallace","WR51","101","","118","106","","","108.3"
"132","Cooper Kupp","LAR","8","WR52","162","","146","139","119","","144.4"
"133","Austin Hooper","CLE","9","TE15","159","","135","150","133","","145.0"
"134","Rex Burkhead","HOU","7","RB48","174","","130","154","117","","145.4"
"135","Denver Broncos","DST","5","DST1","83","","131","","131","","112.0"
"136","Carson Palmer","QB18","142","","138","142","134","","149.2"
"137","Jeremy Hill","RB49","176","","150","138","125","","150.2"
"138","Corey Davis","NYJ","11","WR53","140","","102","111","","","117.3"
"139","Zay Jones","LV","","WR54","125","","127","117","","","128.3"
"140","Samaje Perine","CIN","6","RB50","","","128","119","126","","129.8"
"141","Jamaal Williams","DET","7","RB51","","","136","132","120","","135.3"
"142","Alvin Kamara","NO","5","RB52","183","","144","214","130","","167.4"
"143","Matt Bryant","K3","114","","166","149","","","139.8"
"144","O.J. Howard","TB","1","TE16","152","","155","112","","","144.0"
"145","Dan Bailey","K4","131","","172","147","","","145.3"
"146","Giovani Bernard","TB","1","RB53","138","","152","145","","","146.0"
"147","Carson Wentz","IND","11","QB19","135","","133","135","","","146.3"
"148","Sterling Shepard","NYG","8","WR55","170","","139","123","","","146.8"
"149","Coby Fleener","TE17","156","","141","148","","","149.8"
"150","Seattle Seahawks","DST","6","DST2","79","","153","","","","109.3"
"151","Cole Beasley","BUF","6","WR56","150","","149","152","","","153.8"
"152","Latavius Murray","BAL","10","RB54","165","","171","130","","","156.8"
"153","Tyler Lockett","SEA","6","WR57","167","","159","140","","","160.0"
"154","New York Giants","DST","8","DST3","171","","192","","139","","160.3"
"155","Evan Engram","NYG","8","TE18","151","","164","146","","","160.3"
"156","Tyrod Taylor","HOU","7","QB20","164","","157","151","","","162.3"
"157","Kansas City Chiefs","DST","10","DST4","107","","148","","","","123.0"
"158","Houston Texans","DST","7","DST5","105","","154","","","","123.3"
"159","Julius Thomas","TE19","160","","163","162","","","163.8"
"160","Mason Crosby","GB","8","K5","157","","183","190","","","166.3"
"161","Josh Doctson","WR58","185","","147","164","","","166.3"
"162","Cameron Brate","TB","1","TE20","158","","160","180","","","170.3"
"163","Wendell Smallwood","WAS","5","RB55","","","184","176","138","","171.5"
"164","Taylor Gabriel","WR59","169","","170","157","","","172.3"
"165","Minnesota Vikings","DST","9","DST6","116","","174","","","","136.3"
"166","Arizona Cardinals","DST","8","DST7","129","","168","","","","139.3"
"167","New England Patriots","DST","9","DST8","134","","167","","","","140.3"
"168","Antonio Gates","TE21","143","","185","183","","","177.0"
"169","Shane Vereen","RB56","193","","178","166","","","177.5"
"170","Robby Anderson","CAR","11","WR60","","","140","134","","","144.7"
"171","Carolina Panthers","DST","11","DST9","115","","190","","","","145.7"
"172","Mohamed Sanu Sr.","SF","11","WR61","163","","175","198","","","180.5"
"173","Adam Vinatieri","K6","126","","","182","","","147.3"
"174","Kenny Stills","NO","5","WR62","186","","182","163","","","181.8"
"175","Joe Flacco","NYJ","11","QB21","144","","173","187","","","183.8"
"176","Kendall Wright","WR63","191","","193","181","","","186.0"
"177","Danny Amendola","HOU","7","WR64","147","","181","291","","","192.3"
"178","Marqise Lee","WR65","196","","191","170","","","190.8"
"179","Chris Thompson","RB57","177","","180","235","","","191.8"
"180","Kenny Golladay","NYG","8","WR66","","","156","153","","","161.7"
"181","John Ross","NYG","8","WR67","","","177","125","","","162.3"
"182","Matt Prater","ARI","8","K7","166","","","206","","","172.3"
"183","Pittsburgh Steelers","DST","9","DST10","139","","197","","","","173.3"
"184","Wil Lutz","NO","5","K8","195","","","193","","","176.3"
"185","Jared Cook","LAC","9","TE22","148","","188","255","","","206.0"
"186","Charles Sims","RB58","197","","211","217","","","206.3"
"187","Jacksonville Jaguars","DST","8","DST11","173","","208","","","","181.3"
"188","Marlon Mack","IND","11","RB59","","","169","208","","","183.0"
"189","Torrey Smith","WR68","178","","196","266","","","209.5"
"190","D'Onta Foreman","TEN","8","RB60","","","176","195","","","186.0"
"191","Cairo Santos","CHI","9","K9","192","","","226","","","189.7"
"192","Los Angeles Rams","DST","8","DST12","181","","222","","","","190.0"
"193","Breshad Perriman","TB","1","WR69","","","209","159","","","192.0"
"194","Jay Cutler","QB22","","","158","211","","","192.7"
"195","Baltimore Ravens","DST","10","DST13","168","","212","","","","193.0"
"196","Dion Lewis","RB61","","","186","201","","","193.0"
"197","Philadelphia Eagles","DST","10","DST14","182","","201","","","","194.7"
"198","DeAndre Washington","RB62","","","187","228","","","195.3"
"199","J.J. Nelson","IND","11","WR70","","","198","167","","","196.3"
"200","James Conner","ARI","8","RB63","","","203","172","","","196.3"
"201","Atlanta Falcons","DST","5","DST15","155","","216","","","","197.0"
"202","Charcandrick West","RB64","187","","217","280","","","218.8"
"203","Sebastian Janikowski","K10","172","","","264","","","198.0"
"204","Sam Bradford","QB23","","","162","202","","","198.0"
"205","Dustin Hopkins","LAC","9","K11","188","","","219","","","198.7"
"206","Malcolm Mitchell","WR71","","","224","168","","","201.0"
"207","C.J. Fiedorowicz","TE23","","","179","251","","","203.7"
