"Rank","Player","Team","Position","Points","Games","Avg"
"1","Antonio Brown","PIT","WR","355.1","15","23.7"
"2","Le'Veon Bell","PIT","RB","354.5","15","23.6"
"3","Aaron Rodgers","GB","QB","329.7","15","22.0"
"4","Russell Wilson","SEA","QB","320.2","15","21.4"
"5","Drew Brees","NO","QB","293.8","15","19.6"
"6","Dez Bryant","DAL","WR","290.1","15","19.3"
"7","Ben Roethlisberger","PIT","QB","289.2","15","19.3"
"8","Emmanuel Sanders","DEN","WR","288.5","15","19.2"
"9","Julio Jones","ATL","WR","287.6","14","20.5"
"10","Matt Ryan","ATL","QB","277.0","15","18.5"
"11","Tom Brady","NE","QB","274.2","15","18.3"
"12","Randall Cobb","GB","WR","270.8","15","18.1"
"13","Ryan Tannehill","MIA","QB","267.0","15","17.8"
"14","Rob Gronkowski","NE","TE","266.4","15","17.8"
"15","T.Y. Hilton","IND","WR","258.5","14","18.5"
"15","Odell Beckham Jr.","NYG","WR","258.5","11","23.5"
"17","Alshon Jeffery","CHI","WR","256.2","15","17.1"
"18","Golden Tate","DET","WR","251.6","15","16.8"
"19","Joe Flacco","BAL","QB","241.8","15","16.1"
"20","Matthew Stafford","DET","QB","229.8","15","15.3"
"21","Cam Newton","CAR","QB","229.2","13","17.6"
"22","Mike Evans","TB","WR","228.7","14","16.3"
"23","DeAndre Hopkins","HOU","WR","228.5","15","15.2"
"24","Julian Edelman","NE","WR","222.6","14","15.9"
"25","Alex Smith","KC","QB","219.9","15","14.7"
"26","Jimmy Graham","NO","TE","218.5","15","14.6"
"27","Greg Olsen","CAR","TE","216.1","15","14.4"
"28","Andy Dalton","CIN","QB","210.9","15","14.1"
"29","Lamar Miller","MIA","RB","199.6","15","13.3"
"30","DeSean Jackson","WAS","WR","193.0","14","13.8"
"31","A.J. Green","CIN","WR","191.1","12","15.9"
"32","Sammy Watkins","BUF","WR","188.8","15","12.6"
"33","LeSean McCoy","PHI","RB","187.0","15","12.5"
"34","Ryan Fitzpatrick","HOU","QB","179.8","12","15.0"
"35","Alfred Morris","WAS","RB","179.7","15","12.0"
"36","Mark Ingram II","NO","RB","177.8","12","14.8"
"37","Jordan Matthews","PHI","WR","177.7","15","11.9"
"38","Mohamed Sanu Sr.","CIN","WR","176.6","15","11.8"
"39","Jarvis Landry","MIA","WR","170.9","15","11.4"
"40","Giovani Bernard","CIN","RB","168.5","12","14.0"
"41","Teddy Bridgewater","MIN","QB","167.5","12","14.0"
"42","Travis Kelce","KC","TE","161.8","15","10.8"
"43","Kenny Stills","NO","WR","160.7","14","11.5"
"44","Stephen Gostkowski","NE","K","160.0","15","10.7"
"44","Houston Texans","HOU","DST","160.0","15","10.7"
"46","Blake Bortles","JAC","QB","157.4","13","12.1"
"47","Brian Hoyer","CLE","QB","157.0","14","11.2"
"48","Jason Witten","DAL","TE","155.4","15","10.4"
"49","Cody Parkey","PHI","K","152.0","15","10.1"
"50","Allen Hurns","JAC","WR","151.2","15","10.1"
"51","Robert Woods","BUF","WR","151.0","15","10.1"
"52","Philadelphia Eagles","PHI","DST","150.0","15","10.0"
"52","Buffalo Bills","BUF","DST","150.0","15","10.0"
"54","Larry Fitzgerald","ARI","WR","146.5","13","11.3"
"55","Mason Crosby","GB","K","143.0","15","9.5"
"56","Randy Bullock","HOU","K","142.0","15","9.5"
"57","Frank Gore","SF","RB","141.8","15","9.5"
"58","Brandin Cooks","NO","WR","139.3","10","13.9"
"59","John Brown","ARI","WR","137.9","15","9.2"
"60","Stephen Hauschka","SEA","K","137.0","15","9.1"
"61","Dan Bailey","DAL","K","135.0","15","9.0"
"62","Zach Ertz","PHI","TE","134.6","15","9.0"
"63","Justin Tucker","BAL","K","133.0","15","8.9"
"64","Arizona Cardinals","ARI","DST","132.0","15","8.8"
"65","New England Patriots","NE","DST","130.0","15","8.7"
"66","Baltimore Ravens","BAL","DST","126.0","15","8.4"
"66","Cleveland Browns","CLE","DST","126.0","15","8.4"
"66","Miami Dolphins","MIA","DST","126.0","15","8.4"
"69","Detroit Lions","DET","DST","125.0","15","8.3"
"70","Geno Smith","NYJ","QB","124.7","13","9.6"
"71","Green Bay Packers","GB","DST","123.0","15","8.2"
