"Rank","Player","Team","Position","Points","Games","Avg"
"1","Christian McCaffrey","CAR","RB","448.4","15","29.9"
"2","Lamar Jackson","BAL","QB","421.7","15","28.1"
"3","Michael Thomas","NO","WR","366.9","15","24.5"
"4","Deshaun Watson","HOU","QB","333.0","15","22.2"
"5","Dak Prescott","DAL","QB","319.3","15","21.3"
"6","Jameis Winston","TB","QB","318.7","15","21.3"
"7","Russell Wilson","SEA","QB","313.3","15","20.9"
"8","Aaron Jones","GB","RB","298.5","15","19.9"
"9","Josh Allen","BUF","QB","297.3","15","19.8"
"10","Dalvin Cook","MIN","RB","292.4","14","20.9"
"11","Austin Ekeler","LAC","RB","291.1","15","19.4"
"12","Ezekiel Elliott","DAL","RB","284.3","15","19.0"
"13","Kyler Murray","ARI","QB","282.3","15","18.8"
"14","Patrick Mahomes II","KC","QB","279.8","13","21.5"
"15","Chris Godwin","TB","WR","276.1","14","19.7"
"16","DeAndre Hopkins","HOU","WR","269.5","15","18.0"
"17","Matt Ryan","ATL","QB","266.9","14","19.1"
"18","Carson Wentz","PHI","QB","265.8","15","17.7"
"19","Aaron Rodgers","GB","QB","262.3","15","17.5"
"20","Leonard Fournette","JAC","RB","259.4","15","17.3"
"21","Julio Jones","ATL","WR","259.3","14","18.5"
"22","Tom Brady","NE","QB","255.8","15","17.1"
"23","Derrick Henry","TEN","RB","255.5","14","18.3"
"24","Julian Edelman","NE","WR","250.7","15","16.7"
"25","Kirk Cousins","MIN","QB","250.4","15","16.7"
"26","Nick Chubb","CLE","RB","250.0","15","16.7"
"27","Travis Kelce","KC","TE","248.9","15","16.6"
"28","Jimmy Garoppolo","SF","QB","248.4","15","16.6"
"29","Cooper Kupp","LAR","WR","247.6","15","16.5"
"30","Mark Ingram II","BAL","RB","242.5","15","16.2"
"31","Allen Robinson II","CHI","WR","238.6","15","15.9"
"32","Keenan Allen","LAC","WR","238.3","15","15.9"
"33","Jared Goff","LAR","QB","238.3","15","15.9"
"34","Kenny Golladay","DET","WR","237.8","15","15.9"
"35","Philip Rivers","LAC","QB","237.8","15","15.9"
"36","New England Patriots","NE","DST","234.0","15","15.6"
"37","Derek Carr","OAK","QB","232.9","15","15.5"
"38","Amari Cooper","DAL","WR","232.7","15","15.5"
"39","Mike Evans","TB","WR","232.7","13","17.9"
"40","Chris Carson","SEA","RB","232.6","15","15.5"
"41","DJ Moore","CAR","WR","230.5","15","15.4"
"42","Ryan Fitzpatrick","MIA","QB","230.4","14","16.5"
"43","Alvin Kamara","NO","RB","228.8","13","17.6"
"44","Baker Mayfield","CLE","QB","227.2","15","15.2"
"45","DeVante Parker","MIA","WR","224.5","15","15.0"
"46","Saquon Barkley","NYG","RB","223.4","12","18.6"
"47","Jarvis Landry","CLE","WR","221.2","15","14.8"
"48","John Brown","BUF","WR","219.8","15","14.7"
"49","Jacoby Brissett","IND","QB","219.5","14","15.7"
"50","D.J. Chark Jr.","JAC","WR","218.4","14","15.6"
"51","Tyler Lockett","SEA","WR","218.1","15","14.5"
"52","Zach Ertz","PHI","TE","215.6","15","14.4"
"53","Courtland Sutton","DEN","WR","213.2","15","14.2"
"54","Ryan Tannehill","TEN","QB","212.3","11","19.3"
"55","Robert Woods","LAR","WR","212.3","14","15.2"
"56","Stefon Diggs","MIN","WR","212.1","15","14.1"
"57","Tyler Boyd","CIN","WR","212.0","15","14.1"
"58","Daniel Jones","NYG","QB","211.3","12","17.6"
"59","Miles Sanders","PHI","RB","210.6","15","14.0"
"60","Gardner Minshew II","JAC","QB","209.8","13","16.1"
"61","Todd Gurley II","LAR","RB","208.5","14","14.9"
"62","Mark Andrews","BAL","TE","207.2","15","13.8"
"63","Drew Brees","NO","QB","206.8","10","20.7"
"64","Mitchell Trubisky","CHI","QB","206.4","14","14.7"
"65","George Kittle","SF","TE","206.2","13","15.9"
"66","Darren Waller","OAK","TE","204.3","15","13.6"
"67","Le'Veon Bell","NYJ","RB","202.3","14","14.5"
"68","Andy Dalton","CIN","QB","199.9","12","16.7"
"69","Calvin Ridley","ATL","WR","197.0","13","15.2"
"70","Kenyan Drake","Multi","RB","196.9","13","15.2"
"71","Joe Mixon","CIN","RB","194.8","15","13.0"
"72","A.J. Brown","TEN","WR","194.7","15","13.0"
"73","Marvin Jones Jr.","DET","WR","193.9","13","14.9"
"74","Phillip Lindsay","DEN","RB","192.4","15","12.8"
"75","Terry McLaurin","WAS","WR","191.9","14","13.7"
"76","Josh Jacobs","OAK","RB","191.6","13","14.7"
"77","Sam Darnold","NYJ","QB","191.3","12","15.9"
"78","Davante Adams","GB","WR","190.4","11","17.3"
"79","James White","NE","RB","189.5","14","13.5"
"80","Devonta Freeman","ATL","RB","188.3","13","14.5"
"81","Emmanuel Sanders","Multi","WR","184.8","16","11.6"
"81","Cole Beasley","BUF","WR","184.8","15","12.3"
"83","Odell Beckham Jr.","CLE","WR","184.2","15","12.3"
"84","Kyle Allen","CAR","QB","182.1","13","14.0"
"85","Austin Hooper","ATL","TE","180.2","12","15.0"
"86","Michael Gallup","DAL","WR","179.9","13","13.8"
"87","Tyreek Hill","KC","WR","178.2","11","16.2"
"88","Jamison Crowder","NYJ","WR","177.1","15","11.8"
"89","Matthew Stafford","DET","QB","171.5","8","21.4"
"90","Larry Fitzgerald","ARI","WR","168.9","15","11.3"
"91","Curtis Samuel","CAR","WR","168.4","15","11.2"
"92","D.K. Metcalf","SEA","WR","167.0","15","11.1"
"93","Pittsburgh Steelers","PIT","DST","166.0","15","11.1"
"94","Deebo Samuel","SF","WR","164.6","14","11.8"
"95","San Francisco 49ers","SF","DST","162.0","15","10.8"
"96","Marlon Mack","IND","RB","161.6","13","12.4"
"97","Darius Slayton","NYG","WR","161.0","13","12.4"
"98","Harrison Butker","KC","K","158.0","15","10.5"
"99","Robby Anderson","NYJ","WR","157.5","15","10.5"
"100","Wil Lutz","NO","K","157.0","15","10.5"
"101","Melvin Gordon III","LAC","RB","156.6","11","14.2"
"102","Mike Williams","LAC","WR","155.5","14","11.1"
"103","Jared Cook","NO","TE","155.1","13","11.9"
"104","Ronald Jones II","TB","RB","154.7","15","10.3"
"105","Christian Kirk","ARI","WR","154.6","12","12.9"
"106","Diontae Johnson","PIT","WR","153.7","15","10.3"
"107","David Montgomery","CHI","RB","153.1","15","10.2"
"108","Carlos Hyde","HOU","RB","151.9","15","10.1"
"109","Chris Conley","JAC","WR","149.7","15","10.0"
"110","Latavius Murray","NO","RB","148.7","15","9.9"
"111","Tarik Cohen","CHI","RB","148.5","15","9.9"
"112","Devin Singletary","BUF","RB","147.9","12","12.3"
"113","Jamaal Williams","GB","RB","146.3","14","10.5"
"114","James Conner","PIT","RB","145.5","10","14.6"
"115","Raheem Mostert","SF","RB","144.9","15","9.7"
"116","Tyrell Williams","OAK","WR","143.1","13","11.0"
"117","Matt Gay","TB","K","143.0","15","9.5"
"118","Marquise Brown","BAL","WR","142.9","13","11.0"
"119","Randall Cobb","DAL","WR","141.8","14","10.1"
"120","David Johnson","ARI","RB","141.5","13","10.9"
"121","Royce Freeman","DEN","RB","140.8","15","9.4"
"122","Adrian Peterson","WAS","RB","140.2","15","9.4"
"123","Sony Michel","NE","RB","139.2","15","9.3"
"124","Tyler Higbee","LAR","TE","138.0","14","9.9"
"125","Duke Johnson Jr.","HOU","RB","137.3","15","9.2"
"126","Sammy Watkins","KC","WR","136.7","13","10.5"
"127","Baltimore Ravens","BAL","DST","136.0","15","9.1"
"127","Minnesota Vikings","MIN","DST","136.0","15","9.1"
"127","Justin Tucker","BAL","K","136.0","15","9.1"
"130","Hunter Henry","LAC","TE","135.0","11","12.3"
"131","Los Angeles Rams","LAR","DST","135.0","15","9.0"
"132","Dede Westbrook","JAC","WR","134.5","14","9.6"
"133","Golden Tate","NYG","WR","134.4","10","13.4"
"134","Dallas Goedert","PHI","TE","134.2","14","9.6"
"135","Will Fuller V","HOU","WR","134.0","11","12.2"
"136","James Washington","PIT","WR","133.5","14","9.5"
"136","Jason Witten","DAL","TE","133.5","15","8.9"
"138","Zach Pascal","IND","WR","132.9","15","8.9"
"139","Sterling Shepard","NYG","WR","132.9","9","14.8"
"140","Tevin Coleman","SF","RB","132.6","13","10.2"
"141","Danny Amendola","DET","WR","132.2","14","9.4"
"142","Zane Gonzalez","ARI","K","130.0","15","8.7"
"143","Kansas City Chiefs","KC","DST","129.0","15","8.6"
"144","Joey Slye","CAR","K","126.0","15","8.4"
"144","Anthony Miller","CHI","WR","126.0","15","8.4"
"146","Tennessee Titans","TEN","DST","124.0","15","8.3"
"147","New York Jets","NYJ","DST","123.0","15","8.2"
"148","Mike Gesicki","MIA","TE","122.6","15","8.2"
"149","Alshon Jeffery","PHI","WR","122.2","10","12.2"
"150","Chris Boswell","PIT","K","122.0","15","8.1"
"150","Buffalo Bills","BUF","DST","122.0","15","8.1"
"150","Matt Prater","DET","K","122.0","15","8.1"
"153","Greg Zuerlein","LAR","K","121.0","15","8.1"
"154","Greg Olsen","CAR","TE","120.5","13","9.3"
"155","Kenny Stills","HOU","WR","120.1","13","9.2"
"156","Tampa Bay Buccaneers","TB","DST","120.0","15","8.0"
"157","Dan Bailey","MIN","K","119.0","15","7.9"
"158","LeSean McCoy","KC","RB","118.6","13","9.1"
"159","Josh Lambo","JAC","K","118.0","15","7.9"
"160","Mason Rudolph","PIT","QB","117.8","10","11.8"
"161","Mohamed Sanu Sr.","Multi","WR","117.6","14","8.4"
"162","Brandon McManus","DEN","K","117.0","15","7.8"
"162","New Orleans Saints","NO","DST","117.0","15","7.8"
"164","Seattle Seahawks","SEA","DST","116.0","15","7.7"
"165","T.Y. Hilton","IND","WR","114.9","9","12.8"
"166","Adam Thielen","MIN","WR","114.4","10","11.4"
"167","Jason Myers","SEA","K","114.0","15","7.6"
"168","Kyle Rudolph","MIN","TE","113.7","15","7.6"
"168","Breshad Perriman","TB","WR","113.7","13","8.8"
"170","Jordan Howard","PHI","RB","111.4","9","12.4"
"171","Hunter Renfrow","OAK","WR","111.3","12","9.3"
"172","Peyton Barber","TB","RB","111.0","15","7.4"
"173","JuJu Smith-Schuster","PIT","WR","110.6","11","10.1"
"174","Brandin Cooks","LAR","WR","110.5","13","8.5"
"175","Jack Doyle","IND","TE","110.2","15","7.4"
"176","Darren Fells","HOU","TE","110.1","15","7.3"
"177","Austin Seibert","CLE","K","110.0","15","7.3"
"177","Indianapolis Colts","IND","DST","110.0","15","7.3"
"179","Damien Williams","KC","RB","109.7","10","11.0"
"180","Noah Fant","DEN","TE","109.6","15","7.3"
"181","Mecole Hardman","KC","WR","109.5","15","7.3"
"182","Evan Engram","NYG","TE","109.4","8","13.7"
"183","Nyheim Hines","IND","RB","109.3","15","7.3"
"184","Ka'imi Fairbairn","HOU","K","108.0","15","7.2"
"185","Jason Sanders","MIA","K","107.1","15","7.1"
"186","Robbie Gould","SF","K","107.0","12","8.9"
"187","Corey Davis","TEN","WR","106.7","14","7.6"
"188","Randy Bullock","CIN","K","106.0","15","7.1"
"189","Brett Maher","DAL","K","105.0","13","8.1"
"190","Jonnu Smith","TEN","TE","104.0","15","6.9"
"190","Green Bay Packers","GB","DST","104.0","15","6.9"
"192","Mason Crosby","GB","K","103.0","15","6.9"
"193","Jaylen Samuels","PIT","RB","102.8","13","7.9"
"194","Matt Breida","SF","RB","101.7","12","8.5"
"195","Auden Tate","CIN","WR","101.5","13","7.8"
"196","Tyler Eifert","CIN","TE","101.2","15","6.8"
"197","Stephen Hauschka","BUF","K","101.0","15","6.7"
"198","DeAndre Washington","OAK","RB","100.7","15","6.7"
"199","Philadelphia Eagles","PHI","DST","100.0","15","6.7"
"200","Ryan Griffin","NYJ","TE","98.0","13","7.5"
"201","Kendrick Bourne","SF","WR","97.8","15","6.5"
"202","Case Keenum","WAS","QB","97.2","9","10.8"
"203","Dustin Hopkins","WAS","K","97.0","15","6.5"
"203","Jake Elliott","PHI","K","97.0","15","6.5"
"205","Kareem Hunt","CLE","RB","94.8","8","11.9"
"206","Phillip Dorsett II","NE","WR","94.8","13","7.3"
"207","Rex Burkhead","NE","RB","94.7","12","7.9"
"208","Denver Broncos","DEN","DST","94.0","15","6.3"
"208","Carolina Panthers","CAR","DST","94.0","15","6.3"
"208","Houston Texans","HOU","DST","94.0","15","6.3"
"208","Nelson Agholor","PHI","WR","94.0","11","8.6"
"212","Alex Erickson","CIN","WR","93.1","15","6.2"
"213","Teddy Bridgewater","NO","QB","92.2","9","10.2"
"214","Dallas Cowboys","DAL","DST","92.0","15","6.1"
"215","Jimmy Graham","GB","TE","91.8","15","6.1"
"216","Chris Thompson","WAS","RB","91.5","10","9.2"
"217","Demarcus Robinson","KC","WR","91.5","15","6.1"
"218","Steven Sims Jr.","WAS","WR","91.0","15","6.1"
"219","Preston Williams","MIA","WR","90.8","8","11.4"
"220","Taylor Gabriel","CHI","WR","90.3","9","10.0"
"221","Taysom Hill","NO","QB","90.3","15","6.0"
"222","Eddy Pineiro","CHI","K","90.0","15","6.0"
"223","Joe Flacco","DEN","QB","89.9","8","11.2"
"223","Willie Snead IV","BAL","WR","89.9","15","6.0"
"225","Gerald Everett","LAR","TE","89.8","12","7.5"
"226","John Ross","CIN","WR","89.0","7","12.7"
"227","Daniel Carlson","OAK","K","88.0","15","5.9"
"228","Frank Gore","BUF","RB","87.7","15","5.9"
"229","Jacob Hollister","SEA","TE","87.4","10","8.7"
"230","Chicago Bears","CHI","DST","87.0","15","5.8"
"231","Adam Humphries","TEN","WR","86.5","12","7.2"
"231","Eric Ebron","IND","TE","86.5","11","7.9"
"233","Marcus Mariota","TEN","QB","86.1","6","14.4"
"234","Allen Lazard","GB","WR","85.9","15","5.7"
