"Rank","Player","Team","Position","Points","Games","Avg"
"235","Blake Jarwin","DAL","TE","85.5","15","5.7"
"236","Demaryius Thomas","Multi","WR","85.3","11","7.8"
"237","Sam Ficken","NYJ","K","85.0","14","6.1"
"237","Russell Gage","ATL","WR","85.0","15","5.7"
"237","Jacksonville Jaguars","JAC","DST","85.0","15","5.7"
"237","Washington Football Team","WAS","DST","85.0","15","5.7"
"237","Cleveland Browns","CLE","DST","85.0","15","5.7"
"242","Cameron Brate","TB","TE","83.9","15","5.6"
"243","O.J. Howard","TB","TE","83.9","13","6.5"
"243","Ted Ginn Jr.","NO","WR","83.9","15","5.6"
"245","Dwayne Haskins","WAS","QB","83.7","9","9.3"
"246","Allen Hurns","MIA","WR","83.6","14","6.0"
"247","New York Giants","NYG","DST","83.0","15","5.5"
"248","Chase Edmonds","ARI","RB","82.9","12","6.9"
"249","J.D. McKissic","DET","RB","82.4","15","5.5"
"250","Tony Pollard","DAL","RB","81.7","14","5.8"
"251","Chase McLaughlin","Multi","K","81.0","10","8.1"
"252","T.J. Hockenson","DET","TE","80.7","12","6.7"
"253","Gus Edwards","BAL","RB","80.4","15","5.4"
"254","Marquez Valdes-Scantling","GB","WR","80.2","15","5.4"
"255","Adam Vinatieri","IND","K","80.0","12","6.7"
"256","Dawson Knox","BUF","TE","79.7","15","5.3"
"257","Tajae Sharpe","TEN","WR","79.6","14","5.7"
"257","Vance McDonald","PIT","TE","79.6","13","6.1"
"259","Jordan Akins","HOU","TE","79.4","15","5.3"
"260","Albert Wilson","MIA","WR","77.7","12","6.5"
"261","Irv Smith Jr.","MIN","TE","77.0","15","5.1"
"262","Atlanta Falcons","ATL","DST","76.0","15","5.1"
"263","Rashaad Penny","SEA","RB","75.3","10","7.5"
"264","Younghoe Koo","Multi","K","75.0","7","10.7"
"264","Los Angeles Chargers","LAC","DST","75.0","15","5.0"
"266","Dare Ogunbowale","TB","RB","74.9","15","5.0"
"267","Jalen Richard","OAK","RB","74.9","15","5.0"
"268","Josh Gordon","Multi","WR","74.7","11","6.8"
"269","Will Dissly","SEA","TE","73.9","6","12.3"
"270","Kerryon Johnson","DET","RB","73.7","7","10.5"
"271","Nick Boyle","BAL","TE","73.5","15","4.9"
"272","Bisi Johnson","MIN","WR","72.6","15","4.8"
"273","Hayden Hurst","BAL","TE","71.4","15","4.8"
"274","Geronimo Allison","GB","WR","70.7","15","4.7"
"275","Alexander Mattison","MIN","RB","68.4","13","5.3"
"275","Foster Moreau","OAK","TE","68.4","13","5.3"
"277","Arizona Cardinals","ARI","DST","68.0","15","4.5"
"277","Giovani Bernard","CIN","RB","68.0","15","4.5"
"279","Darrel Williams","KC","RB","67.8","9","7.5"
"280","Aldrick Rosas","NYG","K","67.0","15","4.5"
"281","Dion Lewis","TEN","RB","65.6","15","4.4"
"282","Brian Hill","ATL","RB","65.1","11","5.9"
"283","Las Vegas Raiders","LV","DST","65.0","15","4.3"
"284","Paul Richardson Jr.","WAS","WR","64.5","10","6.5"
"285","Detroit Lions","DET","DST","63.0","15","4.2"
"285","Keelan Cole Sr.","JAC","WR","63.0","15","4.2"
"287","Cody Latimer","NYG","WR","62.8","14","4.5"
"288","Jeff Driskel","Multi","QB","62.2","4","15.6"
"289","Jakobi Meyers","NE","WR","61.9","14","4.4"
"289","Josh Reynolds","LAR","WR","61.9","15","4.1"
"291","Boston Scott","PHI","RB","61.1","10","6.1"
"292","Michael Badgley","LAC","K","61.0","8","7.6"
"293","Kelvin Harmon","WAS","WR","60.6","15","4.0"
"294","Seth Roberts","BAL","WR","60.1","15","4.0"
"295","Eli Manning","NYG","QB","59.3","4","14.8"
"296","Josh Hill","NO","TE","59.1","15","3.9"
"297","Drew Lock","DEN","QB","59.1","4","14.8"
"298","Ricky Seals-Jones","CLE","TE","58.9","13","4.5"
"299","Kaden Smith","Multi","TE","58.0","8","7.3"
"300","Devlin Hodges","PIT","QB","57.7","7","8.2"
"301","Isaiah McKenzie","BUF","WR","57.6","14","4.1"
"302","Derrius Guice","WAS","RB","57.4","5","11.5"
"303","Patrick Laird","MIA","RB","57.3","14","4.1"
"304","Tre'Quan Smith","NO","WR","54.8","10","5.5"
"305","David Moore","SEA","WR","54.6","14","3.9"
"306","Delanie Walker","TEN","TE","54.5","7","7.8"
"307","Nick Folk","NE","K","54.0","6","9.0"
"308","Jordan Wilkins","IND","RB","54.0","14","3.9"
"309","Jarius Wright","CAR","WR","53.9","15","3.6"
"310","Ty Johnson","DET","RB","53.7","15","3.6"
"311","Damiere Byrd","ARI","WR","53.5","10","5.4"
"312","DaeSean Hamilton","DEN","WR","52.2","15","3.5"
"313","Pharoh Cooper","Multi","WR","52.1","12","4.3"
"314","Kalen Ballage","MIA","RB","51.8","12","4.3"
"315","Trey Quinn","WAS","WR","51.8","12","4.3"
"316","Marcus Johnson","IND","WR","51.6","8","6.5"
"317","Jeremy Sprinkle","WAS","TE","51.3","15","3.4"
"318","Keke Coutee","HOU","WR","51.1","9","5.7"
"319","Brandon Bolden","NE","RB","50.9","14","3.6"
"320","Miles Boykin","BAL","WR","50.8","15","3.4"
"321","Demetrius Harris","CLE","TE","49.9","14","3.6"
"322","C.J. Uzomah","CIN","TE","49.7","15","3.3"
"323","Greg Ward","PHI","WR","49.6","6","8.3"
"324","Cincinnati Bengals","CIN","DST","49.0","15","3.3"
"325","Malcolm Brown","LAR","RB","48.9","13","3.8"
"326","Wayne Gallman Jr.","NYG","RB","48.2","10","4.8"
"327","Jaron Brown","SEA","WR","48.0","13","3.7"
"327","Matt Bryant","ATL","K","48.0","8","6.0"
"329","Charles Clay","ARI","TE","47.7","15","3.2"
"330","David Blough","DET","QB","47.5","4","11.9"
"331","Jeff Wilson Jr.","SF","RB","46.9","11","4.3"
"332","Bennie Fowler III","NYG","WR","46.3","8","5.8"
"333","Tavon Austin","DAL","WR","46.3","13","3.6"
"334","KeeSean Johnson","ARI","WR","46.0","10","4.6"
"335","Jakeem Grant Sr.","MIA","WR","45.9","10","4.6"
"336","Chester Rogers","IND","WR","45.7","12","3.8"
"337","Malik Turner","SEA","WR","45.5","15","3.0"
"338","Zay Jones","Multi","WR","44.8","14","3.2"
"339","Kyle Juszczyk","SF","RB","44.7","11","4.1"
"340","Benny Snell Jr.","PIT","RB","42.8","12","3.6"
"341","Matt Moore","KC","QB","42.3","6","7.1"
"342","Mark Walton","MIA","RB","42.0","7","6.0"
"343","James O'Shaughnessy","JAC","TE","41.3","5","8.3"
"344","Rhett Ellison","NYG","TE","40.7","10","4.1"
"345","Scotty Miller","TB","WR","40.6","10","4.1"
"346","Jonathan Williams","IND","RB","40.4","5","8.1"
"347","Vyncint Smith","Multi","WR","40.1","13","3.1"
"348","Marvin Hall","DET","WR","39.8","9","4.4"
"349","Nick Foles","JAC","QB","39.7","4","9.9"
"350","Bo Scarbrough","DET","RB","39.0","5","7.8"
"351","Anthony Firkser","TEN","TE","38.9","14","2.8"
"352","Justin Watson","TB","WR","38.2","15","2.6"
"353","Jake Kumerow","GB","WR","38.2","13","2.9"
"354","Dontrell Hilliard","CLE","RB","38.1","14","2.7"
"354","Parris Campbell","IND","WR","38.1","7","5.4"
"354","Marquise Goodwin","SF","WR","38.1","9","4.2"
"357","Maxx Williams","ARI","TE","37.9","15","2.5"
"358","Justice Hill","BAL","RB","37.6","15","2.5"
"359","Javon Wims","CHI","WR","37.3","15","2.5"
"360","C.J. Ham","MIN","RB","37.2","15","2.5"
"361","DeSean Jackson","PHI","WR","36.9","3","12.3"
"362","Logan Thomas","DET","TE","36.8","15","2.5"
"363","Ito Smith","ATL","RB","36.3","7","5.2"
"364","Ross Dwelley","SF","TE","36.1","15","2.4"
"365","Ty Long","LAC","K","36.0","15","2.4"
"366","Tim Patrick","DEN","WR","35.4","7","5.1"
"367","Andy Isabella","ARI","WR","35.4","14","2.5"
"368","Isaiah Ford","MIA","WR","35.0","8","4.4"
"368","Byron Pringle","KC","WR","35.0","15","2.3"
"370","Brandon Allen","DEN","QB","34.5","3","11.5"
"370","Dante Pettis","SF","WR","34.5","11","3.1"
"372","Marcedes Lewis","GB","TE","34.4","15","2.3"
"373","Cordarrelle Patterson","CHI","RB","34.2","15","2.3"
"374","Matt Schaub","ATL","QB","33.9","7","4.8"
"375","Nick Vannett","Multi","TE","33.6","15","2.2"
"376","Laquon Treadwell","MIN","WR","33.4","13","2.6"
"377","Ian Thomas","CAR","TE","33.4","15","2.2"
"378","Kai Forbath","Multi","K","33.0","4","8.3"
"378","Miami Dolphins","MIA","DST","33.0","15","2.2"
"378","Stephen Gostkowski","NE","K","33.0","4","8.3"
"381","Benjamin Watson","NE","TE","32.9","9","3.7"
"381","J.J. Arcega-Whiteside","PHI","WR","32.9","15","2.2"
"383","Ameer Abdullah","MIN","RB","32.7","15","2.2"
"384","N'Keal Harry","NE","WR","32.6","6","5.4"
"385","Ty Montgomery","NYJ","RB","32.3","15","2.2"
"386","Matt LaCosse","NE","TE","32.1","11","2.9"
"387","Ryquell Armstead","JAC","RB","31.7","15","2.1"
"388","Justin Hardy","ATL","WR","31.5","15","2.1"
"389","Myles Gaskin","MIA","RB","31.4","7","4.5"
"390","Jeff Heuerman","DEN","TE","31.4","13","2.4"
"391","Derek Carrier","OAK","TE","31.1","15","2.1"
"392","Bilal Powell","NYJ","RB","30.5","13","2.4"
"393","Justin Jackson","LAC","RB","30.1","6","5.0"
"394","Mike Nugent","NE","K","30.0","5","6.0"
"395","Nick O'Leary","Multi","TE","29.9","10","3.0"
"396","Jaeden Graham","ATL","TE","29.9","15","2.0"
"397","Qadree Ollison","ATL","RB","29.8","7","4.3"
"398","Darwin Thompson","KC","RB","29.8","11","2.7"
"399","Kalif Raymond","TEN","WR","29.5","8","3.7"
"400","C.J. Prosise","SEA","RB","28.8","9","3.2"
"401","Dontrelle Inman","Multi","WR","28.5","6","4.8"
"402","Trevor Davis","Multi","WR","28.4","13","2.2"
"403","Vernon Davis","WAS","TE","28.3","4","7.1"
"404","Cairo Santos","TEN","K","28.0","5","5.6"
"404","Chase Daniel","CHI","QB","28.0","4","7.0"
"406","Jesse James","DET","TE","27.7","15","1.9"
"407","Ryan Succop","TEN","K","27.0","7","3.9"
"408","Ryan Finley","CIN","QB","26.7","3","8.9"
"409","Richie James Jr.","SF","WR","26.4","15","1.8"
"410","Mike Boone","MIN","RB","26.0","15","1.7"
"411","Brian Hoyer","IND","QB","25.1","5","5.0"
"412","Seth DeValve","JAC","TE","24.6","11","2.2"
"413","Keelan Doss","Multi","WR","24.3","8","3.0"
"414","Damion Ratley","CLE","WR","23.6","12","2.0"
"415","Ryan Izzo","NE","TE","23.4","6","3.9"
"416","Reggie Bonnafon","CAR","RB","23.1","15","1.5"
"417","Robert Tonyan","GB","TE","23.1","10","2.3"
"418","Wendell Smallwood","WAS","RB","23.0","14","1.6"
"418","Josh Rosen","MIA","QB","23.0","6","3.8"
"420","Virgil Green","LAC","TE","22.8","14","1.6"
"421","Mack Hollins","Multi","WR","22.5","15","1.5"
"421","T.J. Yeldon","BUF","RB","22.5","5","4.5"
"423","Trey Burton","CHI","TE","22.4","9","2.5"
"424","Darrell Henderson Jr.","LAR","RB","22.4","13","1.7"
"425","Devin Smith","DAL","WR","22.3","4","5.6"
"426","Deon Cain","Multi","WR","21.4","12","1.8"
"427","Jesper Horsted","CHI","TE","20.7","5","4.1"
"428","Christian Blake","ATL","WR","20.1","8","2.5"
"429","Trey Edmunds","PIT","RB","20.0","9","2.2"
"430","Geoff Swaim","JAC","TE","19.5","6","3.3"
"431","Alec Ingold","OAK","RB","18.1","15","1.2"
"432","Cody Parkey","TEN","K","18.0","4","4.5"
"433","Ben Braunecker","CHI","TE","17.9","11","1.6"
"434","Duke Williams","BUF","WR","17.8","3","5.9"
"435","Cam Newton","CAR","QB","17.7","2","8.9"
"436","Tyler Kroft","BUF","TE","17.6","11","1.6"
"437","Damion Willis","CIN","WR","17.2","10","1.7"
"438","Darren Sproles","PHI","RB","17.0","6","2.8"
"438","Danny Vitale","GB","RB","17.0","15","1.1"
"440","Antonio Callaway","CLE","WR","16.9","5","3.4"
"441","Adam Shaheen","CHI","TE","16.4","8","2.1"
"442","Olamide Zaccheaus","ATL","WR","16.3","9","1.8"
"443","Wes Hills","DET","RB","16.2","1","16.2"
"444","Antonio Brown","NE","WR","16.1","1","16.1"
"445","Stephen Carlson","CLE","TE","16.1","8","2.0"
"445","J.P. Holtz","Multi","TE","16.1","14","1.2"
"447","Luke Willson","SEA","TE","15.9","9","1.8"
"448","Andrew Beck","DEN","TE","15.7","15","1.1"
"449","Rashard Higgins","CLE","WR","15.5","10","1.6"
"450","Andy Janovich","DEN","RB","15.3","8","1.9"
"451","D'Ernest Johnson","CLE","RB","15.2","15","1.0"
"452","Kenjon Barner","ATL","RB","15.1","13","1.2"
"453","Dan Arnold","Multi","TE","15.1","5","3.0"
"453","David Njoku","CLE","TE","15.1","3","5.0"
"455","Mo Alie-Cox","IND","TE","14.8","15","1.0"
"456","Deonte Harty","NO","WR","14.2","13","1.1"
"457","Hale Hentges","Multi","TE","14.1","10","1.4"
"458","Daniel Brown","NYJ","TE","14.0","15","0.9"
"458","Kerrith Whyte Jr.","Multi","RB","14.0","5","2.8"
"460","Troy Fumagalli","DEN","TE","13.9","10","1.4"
"461","Travis Homer","SEA","RB","13.8","15","0.9"
"462","Ben Roethlisberger","PIT","QB","13.7","2","6.9"
"463","Blake Bell","KC","TE","13.6","14","1.0"
"463","J.J. Nelson","OAK","WR","13.6","2","6.8"
"465","Braxton Berrios","NYJ","WR","13.4","15","0.9"
"466","Derek Watt","LAC","RB","13.2","15","0.9"
"467","Lee Smith","BUF","TE","13.1","15","0.9"
"468","TJ Jones","NYG","WR","12.8","3","4.3"
"469","DeAndre Carter","HOU","WR","12.7","15","0.9"
"470","Spencer Ware","Multi","RB","12.3","3","4.1"
"470","Robert Foster","BUF","WR","12.3","12","1.0"
"472","Trent Sherfield","ARI","WR","12.0","15","0.8"
"473","Tyler Conklin","MIN","TE","11.9","15","0.8"
"474","Durham Smythe","MIA","TE","11.7","15","0.8"
