"Rank","Player","Team","Position","Points","Games","Avg"
"1","Kyler Murray","ARI","QB","386.9","15","25.8"
"2","Josh Allen","BUF","QB","385.9","15","25.7"
"3","Patrick Mahomes II","KC","QB","380.3","15","25.4"
"4","Alvin Kamara","NO","RB","377.8","15","25.2"
"5","Aaron Rodgers","GB","QB","362.1","15","24.1"
"6","Russell Wilson","SEA","QB","354.5","15","23.6"
"7","Deshaun Watson","HOU","QB","349.6","15","23.3"
"8","Davante Adams","GB","WR","341.8","13","26.3"
"9","Dalvin Cook","MIN","RB","337.8","14","24.1"
"10","Tyreek Hill","KC","WR","328.9","15","21.9"
"11","Ryan Tannehill","TEN","QB","322.9","15","21.5"
"12","Tom Brady","TB","QB","318.7","15","21.3"
"13","Lamar Jackson","BAL","QB","316.5","14","22.6"
"14","Stefon Diggs","BUF","WR","314.0","15","20.9"
"15","Travis Kelce","KC","TE","312.8","15","20.9"
"16","Justin Herbert","LAC","QB","309.8","14","22.1"
"17","Derrick Henry","TEN","RB","298.1","15","19.9"
"18","Kirk Cousins","MIN","QB","284.9","15","19.0"
"19","DeAndre Hopkins","ARI","WR","280.3","15","18.7"
"20","Ben Roethlisberger","PIT","QB","277.2","15","18.5"
"21","Calvin Ridley","ATL","WR","270.9","14","19.4"
"22","Matt Ryan","ATL","QB","270.6","15","18.0"
"23","D.K. Metcalf","SEA","WR","266.2","15","17.8"
"24","Derek Carr","LV","QB","258.1","15","17.2"
"25","Allen Robinson II","CHI","WR","257.2","15","17.2"
"26","Jared Goff","LAR","QB","253.0","15","16.9"
"27","Justin Jefferson","MIN","WR","251.9","15","16.8"
"27","Darren Waller","LV","TE","251.9","15","16.8"
"29","James Robinson","JAC","RB","250.4","14","17.9"
"30","Matthew Stafford","DET","QB","246.9","15","16.5"
"31","Teddy Bridgewater","CAR","QB","246.4","14","17.6"
"32","Keenan Allen","LAC","WR","245.1","14","17.5"
"33","Adam Thielen","MIN","WR","244.3","14","17.5"
"34","Mike Evans","TB","WR","241.0","15","16.1"
"35","Baker Mayfield","CLE","QB","240.6","15","16.0"
"36","Aaron Jones","GB","RB","240.4","13","18.5"
"37","Philip Rivers","IND","QB","239.6","15","16.0"
"38","Robert Woods","LAR","WR","237.5","15","15.8"
