"Rank","Player","Team","Position","Points","Games","Avg"
"39","David Montgomery","CHI","RB","236.6","14","16.9"
"40","Cam Newton","NE","QB","232.8","14","16.6"
"41","Tyler Lockett","SEA","WR","232.4","15","15.5"
"42","Amari Cooper","DAL","WR","226.7","15","15.1"
"43","Robby Anderson","CAR","WR","217.2","15","14.5"
"44","A.J. Brown","TEN","WR","216.4","13","16.7"
"45","JuJu Smith-Schuster","PIT","WR","215.6","15","14.4"
"46","Jonathan Taylor","IND","RB","214.4","14","15.3"
"47","Carson Wentz","PHI","QB","213.4","12","17.8"
"48","Kareem Hunt","CLE","RB","213.4","15","14.2"
"49","Josh Jacobs","LV","RB","210.4","14","15.0"
"50","Diontae Johnson","PIT","WR","209.2","14","14.9"
"51","Cooper Kupp","LAR","WR","208.7","15","13.9"
"52","Ezekiel Elliott","DAL","RB","208.6","14","14.9"
"53","CeeDee Lamb","DAL","WR","208.1","15","13.9"
"54","Cole Beasley","BUF","WR","207.5","15","13.8"
"55","Terry McLaurin","WAS","WR","206.8","14","14.8"
"56","Mike Davis","CAR","RB","206.5","15","13.8"
"57","DJ Moore","CAR","WR","196.4","14","14.0"
"58","Drew Brees","NO","QB","195.4","11","17.8"
"59","Tee Higgins","CIN","WR","194.6","15","13.0"
"60","Chase Claypool","PIT","WR","193.8","15","12.9"
"61","Antonio Gibson","WAS","RB","193.1","13","14.9"
"62","Curtis Samuel","CAR","WR","193.0","14","13.8"
"63","Brandin Cooks","HOU","WR","192.4","14","13.7"
"64","Nick Chubb","CLE","RB","190.9","11","17.4"
"65","Tyler Boyd","CIN","WR","190.4","14","13.6"
"66","Marvin Jones Jr.","DET","WR","189.8","15","12.7"
"67","Will Fuller V","HOU","WR","188.9","11","17.2"
"68","Brandon Aiyuk","SF","WR","184.5","12","15.4"
"69","Kenyan Drake","ARI","RB","184.1","14","13.2"
"70","J.D. McKissic","WAS","RB","183.4","15","12.2"
"71","Corey Davis","TEN","WR","182.5","13","14.0"
"72","Nyheim Hines","IND","RB","180.5","15","12.0"
"73","Nelson Agholor","LV","WR","178.9","15","11.9"
"74","Joe Burrow","CIN","QB","178.6","10","17.9"
"75","Chris Carson","SEA","RB","177.5","11","16.1"
"76","Melvin Gordon III","DEN","RB","177.4","14","12.7"
"77","Clyde Edwards-Helaire","KC","RB","176.0","13","13.5"
"78","Daniel Jones","NYG","QB","174.3","13","13.4"
"79","D'Andre Swift","DET","RB","173.8","12","14.5"
"80","Ronald Jones II","TB","RB","172.5","13","13.3"
"81","Drew Lock","DEN","QB","172.1","12","14.3"
"82","Jarvis Landry","CLE","WR","171.6","14","12.3"
"83","Miles Sanders","PHI","RB","170.4","12","14.2"
"84","T.J. Hockenson","DET","TE","169.8","15","11.3"
"85","Robert Tonyan","GB","TE","166.8","15","11.1"
"86","Gardner Minshew II","JAC","QB","165.5","9","18.4"
"87","Jamison Crowder","NYJ","WR","164.9","11","15.0"
"88","Michael Gallup","DAL","WR","164.4","15","11.0"
"89","Logan Thomas","WAS","TE","163.9","15","10.9"
"90","Chase Edmonds","ARI","RB","163.5","15","10.9"
"91","Mark Andrews","BAL","TE","163.4","13","12.6"
"92","Jason Sanders","MIA","K","163.0","15","10.9"
"93","Marquise Brown","BAL","WR","161.9","15","10.8"
"94","Ryan Fitzpatrick","MIA","QB","161.7","10","16.2"
"95","Chris Godwin","TB","WR","160.7","11","14.6"
"96","Younghoe Koo","ATL","K","159.0","14","11.4"
"97","Todd Gurley II","ATL","RB","158.7","14","11.3"
"98","David Johnson","HOU","RB","158.5","11","14.4"
"99","Giovani Bernard","CIN","RB","157.4","15","10.5"
"100","Russell Gage","ATL","WR","155.9","15","10.4"
"101","Tim Patrick","DEN","WR","154.6","14","11.0"
"102","D.J. Chark Jr.","JAC","WR","153.6","13","11.8"
"103","James Conner","PIT","RB","153.4","12","12.8"
"104","T.Y. Hilton","IND","WR","150.5","14","10.8"
"104","Mitchell Trubisky","CHI","QB","150.5","9","16.7"
"106","Keelan Cole Sr.","JAC","WR","150.1","15","10.0"
"107","Mike Gesicki","MIA","TE","149.6","14","10.7"
"108","Daniel Carlson","LV","K","149.0","15","9.9"
"108","Tyler Bass","BUF","K","149.0","15","9.9"
"110","Austin Ekeler","LAC","RB","148.2","9","16.5"
"111","DeVante Parker","MIA","WR","147.7","13","11.4"
"112","Taysom Hill","NO","QB","146.9","15","9.8"
"113","Myles Gaskin","MIA","RB","146.5","9","16.3"
"114","Christian Kirk","ARI","WR","146.4","14","10.5"
"115","Julio Jones","ATL","WR","146.1","9","16.2"
"116","Hunter Henry","LAC","TE","145.3","14","10.4"
"117","Rob Gronkowski","TB","TE","144.4","15","9.6"
"118","Pittsburgh Steelers","PIT","DST","144.0","15","9.6"
"119","Emmanuel Sanders","NO","WR","143.5","13","11.0"
"120","Rodrigo Blankenship","IND","K","142.0","15","9.5"
"121","Eric Ebron","PIT","TE","141.8","15","9.5"
"122","Devin Singletary","BUF","RB","141.3","15","9.4"
"123","Jimmy Graham","CHI","TE","141.1","15","9.4"
"124","J.K. Dobbins","BAL","RB","140.5","14","10.0"
"124","Noah Fant","DEN","TE","140.5","14","10.0"
"126","Miami Dolphins","MIA","DST","140.0","15","9.3"
"127","Dak Prescott","DAL","QB","139.6","5","27.9"
"128","Jonnu Smith","TEN","TE","138.4","13","10.7"
"129","Evan Engram","NYG","TE","137.3","15","9.2"
"130","Indianapolis Colts","IND","DST","137.0","15","9.1"
"130","Greg Zuerlein","DAL","K","137.0","15","9.1"
"130","Justin Tucker","BAL","K","137.0","15","9.1"
"133","Darius Slayton","NYG","WR","136.8","15","9.1"
"134","Hayden Hurst","ATL","TE","136.3","15","9.1"
"135","Latavius Murray","NO","RB","136.2","15","9.1"
"136","Dalton Schultz","DAL","TE","132.5","15","8.8"
"137","Laviska Shenault Jr.","JAC","WR","132.5","13","10.2"
"138","Sam Darnold","NYJ","QB","132.1","11","12.0"
"139","Darnell Mooney","CHI","WR","131.8","15","8.8"
"140","Andy Dalton","DAL","QB","131.3","10","13.1"
"141","Ryan Succop","TB","K","131.0","15","8.7"
"141","Los Angeles Rams","LAR","DST","131.0","15","8.7"
"141","Harrison Butker","KC","K","131.0","15","8.7"
"144","Greg Ward","PHI","WR","130.9","15","8.7"
"145","Mike Williams","LAC","WR","130.9","14","9.4"
"146","Zach Pascal","IND","WR","130.8","15","8.7"
"147","Jerry Jeudy","DEN","WR","130.6","15","8.7"
"148","Darrell Henderson Jr.","LAR","RB","130.3","15","8.7"
"149","Wayne Gallman Jr.","NYG","RB","130.1","14","9.3"
"150","Baltimore Ravens","BAL","DST","130.0","15","8.7"
"150","Jason Myers","SEA","K","130.0","15","8.7"
"152","Cairo Santos","CHI","K","129.0","15","8.6"
"153","Sterling Shepard","NYG","WR","128.9","11","11.7"
"154","Nick Mullens","SF","QB","128.2","10","12.8"
"155","Joey Slye","CAR","K","128.0","15","8.5"
"156","Leonard Fournette","TB","RB","127.3","12","10.6"
"157","Hunter Renfrow","LV","WR","126.2","15","8.4"
"158","Graham Gano","NYG","K","126.0","15","8.4"
"159","Mecole Hardman","KC","WR","125.6","15","8.4"
"160","Wil Lutz","NO","K","125.0","15","8.3"
"160","Brandon McManus","DEN","K","125.0","14","8.9"
"162","Jerick McKinnon","SF","RB","124.6","14","8.9"
"163","Jamaal Williams","GB","RB","124.5","13","9.6"
"164","Jakobi Meyers","NE","WR","124.3","13","9.6"
"165","Tua Tagovailoa","MIA","QB","122.2","9","13.6"
"166","Tyler Higbee","LAR","TE","121.1","14","8.7"
"167","Gus Edwards","BAL","RB","120.2","15","8.0"
"168","Marquez Valdes-Scantling","GB","WR","120.2","14","8.6"
"169","Stephen Gostkowski","TEN","K","119.0","15","7.9"
"169","Nick Folk","NE","K","119.0","15","7.9"
"171","Jeff Wilson Jr.","SF","RB","118.5","11","10.8"
"172","Gabriel Davis","BUF","WR","118.2","15","7.9"
"173","Dustin Hopkins","WAS","K","118.0","15","7.9"
"174","Josh Reynolds","LAR","WR","117.4","15","7.8"
"175","David Moore","SEA","WR","117.3","15","7.8"
"176","Kendrick Bourne","SF","WR","117.1","14","8.4"
"177","Washington Football Team","WAS","DST","117.0","15","7.8"
"178","Dallas Goedert","PHI","TE","116.4","11","10.6"
"179","Michael Badgley","LAC","K","116.0","15","7.7"
"180","Ka'imi Fairbairn","HOU","K","115.0","15","7.7"
"180","Mason Crosby","GB","K","115.0","15","7.7"
"182","Tony Pollard","DAL","RB","114.4","15","7.6"
"183","Travis Fulgham","PHI","WR","113.4","12","9.5"
"183","Rashard Higgins","CLE","WR","113.4","12","9.5"
"185","Jared Cook","NO","TE","113.1","14","8.1"
"186","Damiere Byrd","NE","WR","112.8","14","8.1"
"187","Adrian Peterson","DET","RB","112.2","15","7.5"
"188","Nick Foles","CHI","QB","112.1","9","12.5"
"189","Tampa Bay Buccaneers","TB","DST","112.0","15","7.5"
"190","George Kittle","SF","TE","111.3","7","15.9"
"190","A.J. Green","CIN","WR","111.3","15","7.4"
"192","Matt Prater","DET","K","110.0","15","7.3"
"193","Rex Burkhead","NE","RB","107.6","10","10.8"
"194","Kansas City Chiefs","KC","DST","107.0","15","7.1"
"194","New Orleans Saints","NO","DST","107.0","15","7.1"
"196","Malcolm Brown","LAR","RB","106.3","15","7.1"
"197","Robbie Gould","SF","K","106.0","15","7.1"
"198","Anthony Miller","CHI","WR","105.4","15","7.0"
"199","Danny Amendola","DET","WR","104.8","13","8.1"
"200","Cody Parkey","CLE","K","104.0","14","7.4"
"201","James White","NE","RB","103.5","13","8.0"
"202","Tre'Quan Smith","NO","WR","103.1","13","7.9"
"203","Larry Fitzgerald","ARI","WR","100.9","13","7.8"
"204","Scotty Miller","TB","WR","100.3","14","7.2"
"205","Frank Gore","NYJ","RB","100.2","15","6.7"
"206","Randall Cobb","HOU","WR","100.1","10","10.0"
"207","Chris Boswell","PIT","K","100.0","13","7.7"
"207","Randy Bullock","CIN","K","100.0","12","8.3"
"209","Austin Hooper","CLE","TE","99.8","12","8.3"
"210","Raheem Mostert","SF","RB","99.7","8","12.5"
"211","Joe Mixon","CIN","RB","99.6","6","16.6"
"212","James Washington","PIT","WR","99.2","15","6.6"
"213","Zack Moss","BUF","RB","98.5","12","8.2"
"214","Arizona Cardinals","ARI","DST","98.0","15","6.5"
"214","Zane Gonzalez","ARI","K","98.0","12","8.2"
"214","Carolina Panthers","CAR","DST","98.0","15","6.5"
"214","New England Patriots","NE","DST","98.0","15","6.5"
"214","Seattle Seahawks","SEA","DST","98.0","15","6.5"
"219","Jalen Guyton","LAC","WR","97.1","15","6.5"
"220","Buffalo Bills","BUF","DST","97.0","15","6.5"
"221","Jalen Hurts","PHI","QB","96.2","14","6.9"
"222","Demarcus Robinson","KC","WR","95.8","14","6.8"
"223","Willie Snead IV","BAL","WR","94.2","13","7.3"
"224","Allen Lazard","GB","WR","94.1","9","10.5"
"225","Cleveland Browns","CLE","DST","94.0","15","6.3"
"225","New York Giants","NYG","DST","94.0","15","6.3"
"227","Michael Pittman Jr.","IND","WR","93.9","12","7.8"
"228","Irv Smith Jr.","MIN","TE","93.5","12","7.8"
"229","Philadelphia Eagles","PHI","DST","93.0","15","6.2"
"230","Damien Harris","NE","RB","91.3","10","9.1"
"231","Cam Akers","LAR","RB","91.2","11","8.3"
"232","Chicago Bears","CHI","DST","91.0","15","6.1"
"233","Braxton Berrios","NYJ","WR","90.7","15","6.1"
"234","Christian McCaffrey","CAR","RB","90.3","3","30.1"
"235","KJ Hamler","DEN","WR","90.1","13","6.9"
"236","Dan Arnold","ARI","TE","89.2","15","6.0"
"237","Gerald Everett","LAR","TE","88.4","15","5.9"
"238","Sammy Watkins","KC","WR","88.4","10","8.8"
"239","Green Bay Packers","GB","DST","88.0","15","5.9"
"240","Breshad Perriman","NYJ","WR","87.7","11","8.0"
"241","Jakeem Grant Sr.","MIA","WR","87.3","14","6.2"
"242","Odell Beckham Jr.","CLE","WR","86.8","7","12.4"
"243","Golden Tate","NYG","WR","86.5","12","7.2"
"244","San Francisco 49ers","SF","DST","86.0","15","5.7"
"245","Boston Scott","PHI","RB","85.7","15","5.7"
"246","Carlos Hyde","SEA","RB","84.9","10","8.5"
"247","Jalen Reagor","PHI","WR","84.7","10","8.5"
"248","Duke Johnson Jr.","HOU","RB","84.4","11","7.7"
"249","Kalen Ballage","Multi","RB","84.3","10","8.4"
"250","Devontae Booker","LV","RB","84.1","15","5.6"
"251","Michael Thomas","NO","WR","83.9","7","12.0"
"252","Trey Burton","IND","TE","83.3","12","6.9"
"253","Dan Bailey","MIN","K","83.0","15","5.5"
"254","Jordan Akins","HOU","TE","81.8","12","6.8"
"255","Chris Conley","JAC","WR","81.4","14","5.8"
"256","Joshua Kelley","LAC","RB","81.2","13","6.3"
"257","Tyler Eifert","JAC","TE","80.9","14","5.8"
"258","Deebo Samuel","SF","WR","80.7","7","11.5"
"259","Mo Alie-Cox","IND","TE","80.4","14","5.7"
"260","Antonio Brown","TB","WR","80.3","7","11.5"
"261","Kyle Juszczyk","SF","RB","80.2","15","5.4"
"262","Anthony Firkser","TEN","TE","79.9","15","5.3"
"263","John Brown","BUF","WR","79.6","8","10.0"
"264","Henry Ruggs III","LV","WR","79.3","12","6.6"
"265","Brian Hill","ATL","RB","78.8","15","5.3"
"266","Cam Sims","WAS","WR","76.9","14","5.5"
"267","Darren Fells","HOU","TE","76.2","13","5.9"
"268","Drew Sample","CIN","TE","75.4","15","5.0"
"269","Dwayne Haskins","WAS","QB","75.2","7","10.7"
"270","Preston Williams","MIA","WR","74.8","8","9.4"
"271","Le'Veon Bell","Multi","RB","74.6","11","6.8"
"272","Tyron Johnson","LAC","WR","74.0","10","7.4"
"273","Benny Snell Jr.","PIT","RB","73.9","14","5.3"
"274","Jordan Reed","SF","TE","73.1","10","7.3"
"275","Jake Elliott","PHI","K","73.0","15","4.9"
"275","Atlanta Falcons","ATL","DST","73.0","15","4.9"
"277","Zach Ertz","PHI","TE","72.9","10","7.3"
"278","Keke Coutee","HOU","WR","72.0","7","10.3"
"279","Kerryon Johnson","DET","RB","71.8","14","5.1"
"280","Richard Rodgers","PHI","TE","70.5","11","6.4"
"281","N'Keal Harry","NE","WR","70.2","12","5.9"
"282","Dallas Cowboys","DAL","DST","70.0","15","4.7"
"283","Jimmy Garoppolo","SF","QB","69.4","6","11.6"
"284","Isaiah McKenzie","BUF","WR","69.1","14","4.9"
"285","Los Angeles Chargers","LAC","DST","68.0","15","4.5"
"286","Cordarrelle Patterson","CHI","RB","67.6","15","4.5"
"287","Alex Smith","WAS","QB","67.1","7","9.6"
"288","Cameron Brate","TB","TE","66.1","14","4.7"
"289","Phillip Lindsay","DEN","RB","66.0","11","6.0"
"290","Kenny Golladay","DET","WR","65.8","5","13.2"
"291","Kyle Rudolph","MIN","TE","65.4","12","5.5"
"292","New York Jets","NYJ","DST","65.0","15","4.3"
"293","Jacob Hollister","SEA","TE","64.3","15","4.3"
"294","Tennessee Titans","TEN","DST","64.0","15","4.3"
"295","Denver Broncos","DEN","DST","63.0","15","4.2"
"296","Dawson Knox","BUF","TE","61.9","10","6.2"
"297","Harrison Bryant","CLE","TE","61.8","12","5.2"
"298","Jordan Wilkins","IND","RB","61.3","14","4.4"
"299","Samaje Perine","CIN","RB","60.6","15","4.0"
"300","Marvin Hall","Multi","WR","60.3","12","5.0"
"301","Jack Doyle","IND","TE","59.4","13","4.6"
"302","Collin Johnson","JAC","WR","59.2","12","4.9"
"303","Minnesota Vikings","MIN","DST","59.0","15","3.9"
"304","DaeSean Hamilton","DEN","WR","58.5","12","4.9"
"305","Miles Boykin","BAL","WR","58.3","13","4.5"
"306","Denzel Mims","NYJ","WR","58.2","8","7.3"
"307","Will Dissly","SEA","TE","58.1","14","4.2"
"308","Adam Humphries","TEN","WR","57.8","7","8.3"
"309","Joe Flacco","NYJ","QB","57.7","5","11.5"
"310","Alexander Mattison","MIN","RB","57.4","12","4.8"
"311","Jacksonville Jaguars","JAC","DST","57.0","15","3.8"
"312","DeeJay Dallas","SEA","RB","56.9","10","5.7"
"313","Dion Lewis","NYG","RB","56.5","15","3.8"
"314","Donovan Peoples-Jones","CLE","WR","56.3","11","5.1"
"315","Julian Edelman","NE","WR","56.2","6","9.4"
"316","Matt Gay","LAR","K","56.0","6","9.3"
"317","Salvon Ahmed","MIA","RB","55.2","5","11.0"
"318","Andy Isabella","ARI","WR","54.8","12","4.6"
"319","Richie James Jr.","SF","WR","54.8","10","5.5"
"320","Ito Smith","ATL","RB","54.7","13","4.2"
"321","Ty Johnson","Multi","RB","54.5","11","5.0"
"322","Chris Herndon IV","NYJ","TE","54.4","13","4.2"
"323","Sam Ficken","NYJ","K","54.0","9","6.0"
"323","Peyton Barber","WAS","RB","54.0","14","3.9"
"325","Steven Sims Jr.","WAS","WR","53.9","11","4.9"
"326","Greg Olsen","SEA","TE","53.9","11","4.9"
"327","Quintez Cephus","DET","WR","53.8","12","4.5"
"328","Brandon Allen","CIN","QB","53.5","4","13.4"
"328","Durham Smythe","MIA","TE","53.5","14","3.8"
"330","Olamide Zaccheaus","ATL","WR","53.4","10","5.3"
"331","Darrel Williams","KC","RB","53.3","14","3.8"
"332","Cole Kmet","CHI","TE","52.9","14","3.8"
"333","Sony Michel","NE","RB","52.7","7","7.5"
"334","La'Mical Perine","NYJ","RB","52.5","10","5.3"
"335","James O'Shaughnessy","JAC","TE","52.2","14","3.7"
"336","Justin Jackson","LAC","RB","51.9","7","7.4"
"337","Jalen Richard","LV","RB","51.1","13","3.9"
"338","Devin Duvernay","BAL","WR","50.9","14","3.6"
"339","Cedrick Wilson Jr.","DAL","WR","50.3","14","3.6"
"340","David Njoku","CLE","TE","49.0","10","4.9"
"341","Mark Ingram II","BAL","RB","49.0","10","4.9"
"342","Mike Glennon","JAC","QB","48.9","4","12.2"
"342","Isaiah Ford","MIA","WR","48.9","9","5.4"
"344","Deonte Harty","NO","WR","47.7","9","5.3"
"345","Cincinnati Bengals","CIN","DST","47.0","15","3.1"
"346","Isaiah Wright","WAS","WR","46.3","12","3.9"
"347","Dontrelle Inman","WAS","WR","46.3","8","5.8"
"348","Kyle Allen","WAS","QB","46.1","4","11.5"
"349","Ross Dwelley","SF","TE","45.4","15","3.0"
"350","DeSean Jackson","PHI","WR","44.8","5","9.0"
"351","Jeremy McNichols","TEN","RB","43.9","15","2.9"
"352","Chad Hansen","HOU","WR","43.0","4","10.8"
"352","Sam Sloman","Multi","K","43.0","7","6.1"
"354","Chris Thompson","JAC","RB","42.6","7","6.1"
"355","Matt Breida","MIA","RB","42.0","11","3.8"
"356","Tyler Kroft","BUF","TE","41.9","10","4.2"
"357","Adam Shaheen","MIA","TE","41.8","14","3.0"
"358","Houston Texans","HOU","DST","41.0","15","2.7"
"359","Freddie Swain","SEA","WR","40.9","12","3.4"
"360","Lynn Bowden Jr.","MIA","WR","40.6","9","4.5"
"361","Mohamed Sanu Sr.","Multi","WR","40.4","8","5.1"
"362","AJ Dillon","GB","RB","40.0","10","4.0"
"363","Ian Thomas","CAR","TE","39.6","14","2.8"
"364","Alfred Morris","NYG","RB","39.5","8","4.9"
"364","Marcus Johnson","IND","WR","39.5","9","4.4"
"366","C.J. Beathard","SF","QB","38.4","5","7.7"
"367","Tyler Johnson","TB","WR","38.3","12","3.2"
"368","Mack Hollins","MIA","WR","38.3","15","2.6"
"369","Las Vegas Raiders","LV","DST","38.0","15","2.5"
"370","Van Jefferson","LAR","WR","37.9","14","2.7"
"371","Jesse James","DET","TE","37.7","15","2.5"
"371","Chad Beebe","MIN","WR","37.7","13","2.9"
"373","O.J. Howard","TB","TE","37.6","4","9.4"
"374","Tyler Conklin","MIN","TE","37.4","13","2.9"
"375","Nick Boyle","BAL","TE","37.3","9","4.1"
"376","Aldrick Rosas","JAC","K","37.0","5","7.4"
"377","Marcedes Lewis","GB","TE","36.8","12","3.1"
"378","Adam Trautman","NO","TE","36.6","11","3.3"
"379","Sergio Castillo","NYJ","K","36.0","6","6.0"
"379","Devonta Freeman","NYG","RB","36.0","5","7.2"
"381","Bisi Johnson","MIN","WR","34.9","11","3.2"
"382","Jake Luton","JAC","QB","34.3","3","11.4"
"383","Marquez Callaway","NO","WR","34.2","10","3.4"
"384","Royce Freeman","DEN","RB","33.9","11","3.1"
"385","Jeff Smith","NYJ","WR","33.7","9","3.7"
"386","Travis Homer","SEA","RB","32.8","9","3.6"
"387","Jeff Driskel","DEN","QB","32.0","3","10.7"
"388","Jason Witten","LV","TE","31.9","12","2.7"
"389","Zay Jones","LV","WR","31.9","13","2.5"
"390","Kenny Stills","HOU","WR","31.4","8","3.9"
"391","Foster Moreau","LV","TE","31.3","10","3.1"
"392","Donald Parham Jr.","LAC","TE","31.2","11","2.8"
"393","JaMycal Hasty","SF","RB","31.1","8","3.9"
"394","Ryan Izzo","NE","TE","30.9","10","3.1"
"395","Jordan Howard","Multi","RB","30.7","7","4.4"
"396","Ray-Ray McCloud","PIT","WR","30.5","15","2.0"
"397","Mike Thomas","CIN","WR","30.3","11","2.8"
"398","Detroit Lions","DET","DST","30.0","15","2.0"
"399","Cameron Batson","TEN","WR","30.0","11","2.7"
"400","Noah Brown","DAL","WR","29.8","14","2.1"
"401","Brandon Powell","ATL","WR","29.6","15","2.0"
"402","Nick Vannett","DEN","TE","29.5","12","2.5"
"403","Jace Sternberger","GB","TE","29.4","10","2.9"
"403","Alec Ingold","LV","RB","29.4","13","2.3"
"405","Albert Okwuegbunam","DEN","TE","29.1","4","7.3"
"406","KeeSean Johnson","ARI","WR","29.0","7","4.1"
"406","Mike Nugent","ARI","K","29.0","3","9.7"
"406","Auden Tate","CIN","WR","29.0","9","3.2"
"409","John Hightower","PHI","WR","28.7","10","2.9"
"410","LeSean McCoy","TB","RB","28.2","8","3.5"
"411","Josh Lambo","JAC","K","28.0","4","7.0"
"412","Kalif Raymond","TEN","WR","27.4","14","2.0"
"413","Christian Blake","ATL","WR","27.1","14","1.9"
"414","Marcus Mariota","LV","QB","26.8","1","26.8"
"415","Kaden Smith","NYG","TE","26.6","14","1.9"
"416","Pharaoh Brown","HOU","TE","26.5","11","2.4"
"417","Tyler Ervin","GB","RB","26.1","8","3.3"
"418","Chris Hogan","NYJ","WR","25.8","5","5.2"
"419","Byron Pringle","KC","WR","25.8","10","2.6"
"420","Equanimeous St. Brown","GB","WR","25.4","8","3.2"
"421","Rodney Smith","CAR","RB","25.1","6","4.2"
"422","KhaDarel Hodge","CLE","WR","24.5","6","4.1"
"423","Maxx Williams","ARI","TE","24.2","6","4.0"
"424","Austin Seibert","Multi","K","24.0","4","6.0"
"425","Alshon Jeffery","PHI","WR","23.5","7","3.4"
"426","Ke'Shawn Vaughn","TB","RB","23.3","8","2.9"
"426","Geoff Swaim","TEN","TE","23.3","8","2.9"
"428","Bryan Edwards","LV","WR","23.2","9","2.6"
"429","Darrell Daniels","ARI","TE","23.2","10","2.3"
"430","C.J. Uzomah","CIN","TE","22.7","2","11.4"
"430","Josh Adams","NYJ","RB","22.7","7","3.2"
"430","Dez Bryant","BAL","WR","22.7","4","5.7"
"433","DeMichael Harris","IND","WR","22.5","7","3.2"
"434","Blake Bell","DAL","TE","22.2","13","1.7"
"435","Gunner Olszewski","NE","WR","22.1","12","1.8"
"436","Quez Watkins","PHI","WR","22.0","5","4.4"
"436","Patrick Laird","MIA","RB","22.0","14","1.6"
"438","MyCole Pruitt","TEN","TE","21.9","9","2.4"
"439","C.J. Board","NYG","WR","21.4","11","2.0"
"440","Ryan Finley","CIN","QB","21.2","5","4.2"
"441","Anthony McFarland Jr.","PIT","RB","21.0","10","2.1"
"441","D'Ernest Johnson","CLE","RB","21.0","14","1.5"
"443","Ryan Nall","CHI","RB","20.7","13","1.6"
"444","Alex Erickson","CIN","WR","20.6","15","1.4"
"445","Jacoby Brissett","IND","QB","20.3","10","2.0"
"446","Ameer Abdullah","MIN","RB","20.3","13","1.6"
"447","Jamal Agnew","DET","WR","19.9","6","3.3"
"448","Troymaine Pope","LAC","RB","19.8","5","4.0"
"449","Lee Smith","BUF","TE","19.5","7","2.8"
"450","Laquon Treadwell","ATL","WR","19.4","3","6.5"
"451","Corey Clement","PHI","RB","19.2","13","1.5"
"452","Colt McCoy","NYG","QB","19.1","4","4.8"
"453","C.J. Ham","MIN","RB","19.1","13","1.5"
"454","Dare Ogunbowale","JAC","RB","18.7","12","1.6"
"455","Gabe Nabers","LAC","RB","18.7","13","1.4"
"456","Josh Hill","NO","TE","18.6","11","1.7"
"457","Trent Taylor","SF","WR","18.6","12","1.6"
"458","Malik Taylor","GB","WR","18.5","12","1.5"
"459","Chase McLaughlin","Multi","K","18.0","3","6.0"
"460","Ryan Griffin","NYJ","TE","17.6","12","1.5"
"461","Keith Smith","ATL","RB","17.6","15","1.2"
"462","Tarik Cohen","CHI","RB","17.5","3","5.8"
"462","Jakob Johnson","NE","RB","17.5","12","1.5"
"464","DeAndre Washington","Multi","RB","17.1","4","4.3"
"465","D'Onta Foreman","TEN","RB","17.0","5","3.4"
"465","Patrick Ricard","BAL","RB","17.0","13","1.3"
"465","Javon Wims","CHI","WR","17.0","12","1.4"
"468","Reggie Bonnafon","CAR","RB","16.7","2","8.4"
"469","Vance McDonald","PIT","TE","16.6","10","1.7"
"470","Jaylen Samuels","PIT","RB","16.4","12","1.4"
"471","Justin Watson","TB","WR","16.4","10","1.6"
"472","T.J. Yeldon","BUF","RB","16.2","3","5.4"
"473","Darrynton Evans","TEN","RB","16.1","4","4.0"
