"Rank","Player","Team","Position","Points","Games","Avg"
"1","Tom Brady","NE","QB","320.8","15","21.4"
"2","Aaron Rodgers","GB","QB","315.9","15","21.1"
"3","Drew Brees","NO","QB","315.8","15","21.1"
"4","Adrian Peterson","MIN","RB","314.3","15","21.0"
"5","Cam Newton","CAR","QB","312.0","15","20.8"
"6","Robert Griffin III","WAS","QB","301.1","14","21.5"
"7","A.J. Green","CIN","WR","295.2","15","19.7"
"8","Matt Ryan","ATL","QB","290.4","15","19.4"
"9","Dez Bryant","DAL","WR","288.6","15","19.2"
"10","Matthew Stafford","DET","QB","258.7","15","17.3"
"11","Julio Jones","ATL","WR","253.2","15","16.9"
"12","Russell Wilson","SEA","QB","249.6","15","16.6"
"13","Andy Dalton","CIN","QB","243.2","15","16.2"
"14","Randall Cobb","GB","WR","234.6","15","15.6"
"15","Joe Flacco","BAL","QB","233.7","15","15.6"
"16","Matt Schaub","HOU","QB","216.9","15","14.5"
"17","Chicago Bears","CHI","DST","215.0","15","14.3"
"18","Jason Witten","DAL","TE","213.3","15","14.2"
"19","Alfred Morris","WAS","RB","210.8","15","14.1"
"20","Jimmy Graham","NO","TE","210.7","14","15.1"
"21","Frank Gore","SF","RB","206.9","15","13.8"
"22","Ben Roethlisberger","PIT","QB","206.7","12","17.2"
"23","Ryan Fitzpatrick","BUF","QB","200.7","15","13.4"
"24","Rob Gronkowski","NE","TE","185.8","10","18.6"
"25","LeSean McCoy","PHI","RB","183.7","11","16.7"
"26","Ryan Tannehill","MIA","QB","176.5","15","11.8"
"27","Greg Olsen","CAR","TE","175.0","15","11.7"
"28","Seattle Seahawks","SEA","DST","172.0","15","11.5"
"29","Larry Fitzgerald","ARI","WR","171.5","15","11.4"
"30","Andre Roberts","ARI","WR","168.2","14","12.0"
"31","Stephen Gostkowski","NE","K","162.0","15","10.8"
"32","Antonio Brown","PIT","WR","161.5","12","13.5"
"33","T.Y. Hilton","IND","WR","159.9","14","11.4"
"34","Denver Broncos","DEN","DST","158.0","15","10.5"
"35","Kyle Rudolph","MIN","TE","154.3","15","10.3"
"36","Josh Gordon","CLE","WR","152.6","15","10.2"
"37","Houston Texans","HOU","DST","152.0","15","10.1"
"38","Golden Tate","SEA","WR","147.2","14","10.5"
"39","Arizona Cardinals","ARI","DST","146.0","15","9.7"
"39","New England Patriots","NE","DST","146.0","15","9.7"
"41","Cincinnati Bengals","CIN","DST","145.0","15","9.7"
"42","Justin Tucker","BAL","K","144.0","15","9.6"
