"Rank","Player","Team","Position","Points","Games","Avg"
"43","San Francisco 49ers","SF","DST","140.0","15","9.3"
"44","Matt Prater","DEN","K","135.0","15","9.0"
"45","Dan Bailey","DAL","K","132.0","15","8.8"
"46","Atlanta Falcons","ATL","DST","131.0","15","8.7"
"47","DeSean Jackson","PHI","WR","126.3","11","11.5"
"48","Green Bay Packers","GB","DST","125.0","15","8.3"
"48","New York Giants","NYG","DST","125.0","15","8.3"
"50","Alex Smith","SF","QB","122.6","9","13.6"
"51","Jared Cook","TEN","TE","118.3","13","9.1"
"52","Minnesota Vikings","MIN","DST","117.0","15","7.8"
"53","Carolina Panthers","CAR","DST","115.0","15","7.7"
"53","Stephen Hauschka","SEA","K","115.0","15","7.7"
"53","Cleveland Browns","CLE","DST","115.0","15","7.7"
"56","Mason Crosby","GB","K","113.0","15","7.5"
"57","Marcedes Lewis","JAC","TE","112.7","15","7.5"
"58","Baltimore Ravens","BAL","DST","112.0","15","7.5"
"58","Ryan Succop","KC","K","112.0","15","7.5"
"60","Washington Football Team","WAS","DST","111.0","15","7.4"
"61","Greg Zuerlein","STL","K","109.0","15","7.3"
"62","New York Jets","NYJ","DST","108.0","15","7.2"
"62","New Orleans Saints","NO","DST","108.0","15","7.2"
"64","Miami Dolphins","MIA","DST","106.0","15","7.1"
"64","Robbie Gould","CHI","K","106.0","13","8.2"
"66","Emmanuel Sanders","PIT","WR","104.2","15","7.0"
"67","Tampa Bay Buccaneers","TB","DST","103.0","15","6.9"
"68","Mike Nugent","CIN","K","100.0","12","8.3"
"69","Chad Henne","JAC","QB","98.8","9","11.0"
"70","Mark Ingram II","NO","RB","95.2","15","6.4"
"71","Pittsburgh Steelers","PIT","DST","95.0","15","6.3"
"72","Blaine Gabbert","JAC","QB","94.1","10","9.4"
"73","Nick Folk","NYJ","K","94.0","15","6.3"
"74","Kai Forbath","WAS","K","93.0","10","9.3"
"75","Tennessee Titans","TEN","DST","89.0","15","5.9"
"76","Indianapolis Colts","IND","DST","88.0","15","5.9"
"77","Nick Foles","PHI","QB","86.2","7","12.3"
"78","Dallas Cowboys","DAL","DST","85.0","15","5.7"
"79","Garrett Graham","HOU","TE","70.7","14","5.1"
"80","Alshon Jeffery","CHI","WR","67.1","9","7.5"
"81","Julian Edelman","NE","WR","65.0","9","7.2"
"81","Detroit Lions","DET","DST","65.0","15","4.3"
"83","Mohamed Sanu Sr.","CIN","WR","63.8","9","7.1"
"84","Buffalo Bills","BUF","DST","62.0","15","4.1"
"85","Jacksonville Jaguars","JAC","DST","61.0","15","4.1"
"86","Travis Benjamin","CLE","WR","58.1","13","4.5"
"87","Philadelphia Eagles","PHI","DST","57.0","15","3.8"
"88","Kansas City Chiefs","KC","DST","52.0","15","3.5"
"89","Dwayne Harris","DAL","WR","41.7","15","2.8"
"90","Brandon Bolden","NE","RB","39.9","9","4.4"
"91","Lamar Miller","MIA","RB","36.0","12","3.0"
"91","Graham Gano","CAR","K","36.0","5","7.2"
"93","Marvin Jones Jr.","CIN","WR","33.3","10","3.3"
"94","Kirk Cousins","WAS","QB","32.8","3","10.9"
"95","Luke Stocker","TB","TE","30.5","15","2.0"
"96","Cole Beasley","DAL","WR","27.8","9","3.1"
"97","Los Angeles Rams","LAR","DST","21.0","15","1.4"
"98","Bruce Miller","SF","TE","20.3","15","1.4"
"99","Lee Smith","BUF","TE","17.3","15","1.2"
"100","Dion Lewis","PHI","RB","15.8","8","2.0"
"101","Las Vegas Raiders","LV","DST","14.0","15","0.9"
"101","Los Angeles Chargers","LAC","DST","14.0","15","0.9"
"103","Anthony Sherman","ARI","RB","8.9","13","0.7"
"103","Matt Moore","MIA","QB","8.9","2","4.5"
"105","Colt McCoy","CLE","QB","8.7","3","2.9"
"106","Virgil Green","DEN","TE","7.4","11","0.7"
"107","Brian Hoyer","ARI","QB","2.2","1","2.2"
"108","Chase Daniel","NO","QB","2.1","15","0.1"
"109","Tyrod Taylor","BAL","QB","2.0","6","0.3"
"110","Ted Ginn Jr.","SF","WR","0.8","12","0.1"
"111","Matthew Slater","NE","WR","0.0","15","0.0"
"111","Jonathan Brown","FA","K","0.0","3","0.0"
"111","Patrick DiMarco","KC","RB","0.0","4","0.0"
"111","Beau Brinkley","TEN","TE","0.0","15","0.0"
"111","Clark Harris","CIN","TE","0.0","15","0.0"
"111","Josh Hill","FA","TE","0.0","4","0.0"
"117","Joe Webb III","MIN","QB","-0.1","1","-0.1"
"118","Luke McCown","ATL","QB","-0.3","2","-0.2"
""
""
