"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"1","Antonio Brown","WR1","","","1","1","1","","1.0"
"97","Willie Snead IV","CAR","7","WR41","","","83","96","93","","95.5"
"98","Stefon Diggs","BUF","10","WR42","","","81","98","104","","97.3"
"99","Theo Riddick","RB37","","","105","91","101","","100.0"
"100","Philip Rivers","QB11","","","118","99","99","","102.5"
"101","LeGarrette Blount","RB38","","","113","118","95","","108.3"
"102","Bilal Powell","RB39","","","111","113","109","","110.3"
"103","Derek Carr","LV","","QB12","","","128","94","106","","111.3"
"104","Isaiah Crowell","RB40","","","116","104","112","","111.3"
"105","Kamar Aiken","WR43","","","106","112","115","","112.8"
"106","Martellus Bennett","TE11","","","114","109","121","","113.3"
"107","Travis Benjamin","SF","8","WR44","","","102","103","108","","115.8"
"108","Tavon Austin","JAC","5","WR45","","","94","111","114","","116.0"
"109","Corey Coleman","WR46","","","85","110","127","","117.0"
"110","Tyler Eifert ","TE12","","","101","156","116","","117.5"
"111","Devin Funchess","WR47","","","97","137","100","","118.0"
"112","Tevin Coleman","NYJ","11","RB41","","","121","106","126","","118.0"
"113","Jay Ajayi","RB42","","","117","108","124","","118.0"
"114","Vincent Jackson","WR48","","","109","115","120","","118.5"
"115","Dwayne Allen","TE13","","","115","116","135","","120.0"
"116","Kirk Cousins","MIN","6","QB13","","","129","117","111","","120.5"
"117","Justin Forsett","RB43","","","108","125","134","","122.0"
"118","Torrey Smith","WR49","","","93","114","133","","123.3"
"119","Stephen Gostkowski","K1","","","135","122","149","","124.8"
"120","Markus Wheaton","WR50","","","112","97","130","","125.5"
"121","Darren Sproles","RB44","","","132","127","119","","125.5"
"122","Tyrod Taylor","HOU","9","QB14","","","133","131","118","","128.3"
"123","Jimmy Graham","CHI","9","TE14","","","142","92","150","","129.5"
"124","Tajae Sharpe","ATL","11","WR51","","","127","129","113","","129.5"
"125","James White","NE","9","RB45","","","119","195","94","","129.8"
"126","Jameis Winston","NO","5","QB15","","","130","120","125","","129.8"
"127","Matthew Stafford","LAR","8","QB16","","","131","128","122","","130.0"
"128","Michael Thomas","NO","5","WR52","","","98","130","132","","132.0"
"129","Dion Lewis","RB46","","","96","145","154","","134.5"
"130","Jason Witten","TE15","","","134","126","158","","136.0"
"131","Mohamed Sanu Sr.","SF","8","WR53","","","122","123","142","","138.0"
"132","Eric Ebron","PIT","8","TE16","","","136","121","168","","139.5"
"133","Jared Cook","LAC","","TE17","","","151","146","140","","141.0"
"134","Stephen Hauschka","K2","","","173","138","161","","142.0"
"135","Spencer Ware","RB47","","","148","237","97","","143.0"
"136","Shane Vereen","RB48","","","155","124","167","","145.3"
"137","Phillip Dorsett II","HOU","9","WR54","","","120","133","162","","146.5"
"138","Devontae Booker","NYG","8","RB49","","","143","144","144","","147.5"
"139","Jerick McKinnon","KC","5","RB50","","","149","132","156","","147.8"
"140","Christine Michael","RB51","","","126","242","105","","148.8"
"141","Zach Miller","TE18","","","146","151","157","","150.5"
"142","DeAndre Washington","RB52","","","139","205","129","","152.3"
"143","Alfred Morris","NYG","8","RB53","","","165","148","138","","153.0"
"144","Marcus Mariota","LV","","QB17","","","147","152","141","","153.3"
"145","Denver Broncos","DST","11","DST1","","","123","","102","","97.7"
"146","Rishard Matthews","WR55","","","124","168","152","","154.0"
"147","Andy Dalton","CHI","9","QB18","","","150","172","137","","154.0"
"148","Tyler Boyd","CIN","9","WR56","","","125","174","143","","154.5"
"149","Matt Ryan","ATL","11","QB19","","","157","135","148","","155.3"
"150","Justin Tucker","BAL","8","K3","","","175","157","181","","157.0"
"151","Steve Smith","WR57","","","145","165","151","","157.0"
"152","Chris Hogan","WR58","","","153","160","146","","159.5"
"153","Graham Gano","NYG","8","K4","","","167","188","185","","160.3"
"154","James Starks","RB54","","","164","141","170","","160.3"
"155","Chandler Catanzaro","K5","","","184","169","176","","161.3"
"156","Seattle Seahawks","DST","5","DST2","","","144","","110","","109.0"
"157","Arizona Cardinals","DST","9","DST3","","","140","","117","","111.0"
"158","Will Fuller V","MIA","8","WR59","","","137","223","128","","164.5"
"159","Ryan Tannehill","TEN","13","QB20","","","158","153","164","","165.5"
"160","Dorial Green-Beckham","WR60","","","163","139","175","","167.3"
"161","Terrance West","RB55","","","202","175","139","","168.5"
"162","Mike Wallace","WR61","","","154","158","173","","168.8"
"163","Carolina Panthers","DST","7","DST4","","","156","","123","","119.7"
"164","Dan Bailey","K6","","","186","181","188","","173.8"
"165","Pierre Garcon","WR62","","","160","150","179","","174.0"
"166","Chris Johnson","RB56","","","210","154","171","","176.0"
"167","Mason Crosby","GB","4","K7","","","191","194","186","","177.0"
"168","Kenny Stills","NO","5","WR63","","","176","191","153","","179.3"
"169","Virgil Green","TE19","","","189","196","160","","180.0"
"170","Brandon McManus","DEN","11","K8","","","195","193","189","","181.0"
"171","Terrelle Pryor Sr.","WR64","","","179","166","174","","184.8"
"172","Ryan Fitzpatrick","WAS","9","QB21","","","159","221","163","","185.3"
"173","Kenneth Dixon","RB57","","","185","232","169","","185.5"
"174","Ted Ginn Jr.","WR65","","","162","201","172","","185.8"
"175","Houston Texans","DST","9","DST5","","","166","","131","","141.7"
"176","Laquon Treadwell","JAC","5","WR66","","","138","95","","","142.0"
"177","Dak Prescott","DAL","7","QB22","","","188","217","147","","187.0"
"178","Kansas City Chiefs","DST","5","DST6","","","168","","136","","144.3"
"179","Victor Cruz","WR67","","","225","167","166","","192.0"
"180","Robert Griffin III","QB23","","","180","173","184","","194.0"
"181","Minnesota Vikings","DST","6","DST7","","","177","","145","","154.3"
"182","Sammie Coates","WR68","","","141","134","","","156.3"
"183","Chris Thompson","RB58","","","178","147","","","161.7"
"184","Charles Clay","TE20","","","161","163","","","162.0"
"185","Los Angeles Rams","DST","8","DST8","","","190","","165","","162.3"
"186","Austin Seferian-Jenkins","TE21","","","169","136","","","163.7"
"187","C.J. Prosise","RB59","","","198","119","","","164.7"
"188","Brock Osweiler","QB24","","","187","218","178","","205.8"
"189","New England Patriots","DST","9","DST9","","","201","","159","","170.3"
"190","Javorius Allen","RB60","","","192","162","","","172.7"
"191","Ladarius Green","TE22","","","171","149","","","175.3"
"192","Cincinnati Bengals","DST","9","DST10","","","200","","177","","177.3"
"193","Adam Vinatieri","K9","","","","202","190","","178.0"
