"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"1","Antonio Brown","WR1","","","1","1","1","","1.0"
"445","Niles Paul","TE47","","","","","","","409.0"
"446","Tyreek Hill","KC","5","WR153","","","","","","","410.0"
"447","Daryl Richardson","RB143","","","","","","","411.0"
"448","Paul Turner","WR154","","","","","","","412.0"
"449","Dennis Pitta","TE48","","","","","","","413.0"
"450","Taylor Gabriel","WR155","","","","","","","415.0"
"451","Patrick DiMarco","RB144","","","","","","","416.0"
"452","Moritz Bohringer","WR156","","","","","","","417.0"
"453","Garrett Celek","TE49","","","","","","","418.0"
"454","Kenny Bell","WR157","","","","","","","419.0"
"455","Jordan Norwood","WR158","","","","","","","420.0"
"456","Nick Foles","CHI","9","QB44","","","","","","","422.0"
"457","Kenneth Farrow","RB145","","","","","","","423.0"
"458","Brandon Burks","RB146","","","","","","","424.0"
"459","Jerricho Cotchery","WR159","","","","","","","425.0"
"460","Andre Holmes","WR160","","","","","","","426.0"
"461","Andre Roberts","LAC","","WR161","","","","","","","427.0"
"462","Dezmin Lewis","WR162","","","","","","","428.0"
"463","Louis Murphy","WR163","","","","","","","429.0"
"464","Charone Peake","WR164","","","","","","","430.0"
"465","Leonard Hankerson","WR165","","","","","","","431.0"
"466","Mychal Rivera","TE50","","","","","","","432.0"
"467","Quan Bray","WR166","","","","","","","433.0"
"468","Chase Daniel","LAC","","QB45","","","","","","","435.0"
"469","Corey Fuller","WR167","","","","","","","436.0"
"470","Keshawn Martin","WR168","","","","","","","437.0"
"471","Owen Daniels","TE51","","","","","","","438.0"
"472","Jordan Payton","WR169","","","","","","","439.0"
"473","Aaron Burbridge","WR170","","","","","","","440.0"
"474","Demarcus Robinson","KC","5","WR171","","","","","","","441.0"
"475","Devin Hester","WR172","","","","","","","442.0"
"476","Matt Cassel","QB46","","","","","","","443.0"
"477","Greg Salas","WR173","","","","","","","444.0"
"478","Chris Givens","WR174","","","","","","","445.0"
"479","Brett Hundley","IND","10","QB47","","","","","","","446.0"
"480","Ryan Mallett","QB48","","","","","","","447.0"
"481","E.J. Manuel","QB49","","","","","","","448.0"
"482","Luke Willson","TE52","","","","","","","449.0"
"483","Aaron Dobson","WR175","","","","","","","450.0"
"484","Ryan Griffin","NYJ","11","TE53","","","","","","","451.0"
"485","Kenbrell Thompkins","WR176","","","","","","","452.0"
"486","Darren Fells","TB","6","TE54","","","","","","","453.0"
"487","Devon Cajuste","WR177","","","","","","","454.0"
"488","Landry Jones","QB50","","","","","","","455.0"
"489","Chad Henne","KC","5","QB51","","","","","","","457.0"
"490","Cody Kessler","QB52","","","","","","","458.0"
"491","Sean Mannion","MIN","6","QB53","","","","","","","459.0"
"492","AJ McCarron","ATL","11","QB54","","","","","","","460.0"
"493","Derek Anderson","QB55","","","","","","","461.0"
"494","Jermaine Gresham","TE55","","","","","","","462.0"
"495","Colt McCoy","ARI","9","QB56","","","","","","","463.0"
"496","Matt Schaub","QB57","","","","","","","464.0"
"497","Matt Moore","QB58","","","","","","","465.0"
"498","Mike Glennon","NYG","8","QB59","","","","","","","466.0"
"499","Kellen Davis","TE56","","","","","","","467.0"
"500","Christian Hackenberg","QB60","","","","","","","468.0"
"501","Dan Orlovsky","QB61","","","","","","","469.0"
"502","Tom Savage","QB62","","","","","","","470.0"
"503","MyCole Pruitt","TEN","13","TE57","","","","","","","471.0"
"504","Aaron Murray","QB63","","","","","","","472.0"
"505","Scott Tolzien","QB64","","","","","","","473.0"
"506","Stephen Anderson","LAC","","TE58","","","","","","","474.0"
"507","Brandon Weeden","QB65","","","","","","","475.0"
"508","Austin Davis","QB66","","","","","","","476.0"
"509","Drew Stanton","QB67","","","","","","","477.0"
"510","Scott Chandler","TE59","","","","","","","478.0"
"511","Zach Mettenberger","QB68","","","","","","","479.0"
"512","Troy Niklas","TE60","","","","","","","480.0"
"513","Ryan Nassib","QB69","","","","","","","481.0"
"514","Garrett Graham","TE61","","","","","","","482.0"
"515","Kellen Moore","QB70","","","","","","","483.0"
"516","C.J. Fiedorowicz","TE62","","","","","","","484.0"
"517","Garrett Grayson","QB71","","","","","","","485.0"
"518","Jack Doyle","IND","10","TE63","","","","","","","486.0"
"519","Trevone Boykin","QB72","","","","","","","487.0"
"520","Dion Sims","TE64","","","","","","","488.0"
"521","Marcedes Lewis","GB","4","TE65","","","","","","","489.0"
"522","Cardale Jones","QB73","","","","","","","490.0"
"523","Blake Bell","KC","5","TE66","","","","","","","491.0"
"524","Kellen Clemens","QB74","","","","","","","492.0"
"525","Ed Dickson","TE67","","","","","","","493.0"
"526","Luke McCown","QB75","","","","","","","494.0"
"527","Seth DeValve","TE68","","","","","","","495.0"
"528","Bryce Petty","QB76","","","","","","","496.0"
"529","Jeff Cumberland","TE69","","","","","","","497.0"
"530","Anthony Fasano","TE70","","","","","","","498.0"
"531","Matt McGloin","QB77","","","","","","","499.0"
"532","Gavin Escobar","TE71","","","","","","","500.0"
"533","Jacoby Brissett","MIA","8","QB78","","","","","","","501.0"
"534","Nick Vannett","NO","5","TE72","","","","","","","502.0"
"535","Bruce Gradkowski","QB79","","","","","","","503.0"
"536","James O'Shaughnessy","JAC","5","TE73","","","","","","","504.0"
"537","Jeff Driskel","HOU","9","QB80","","","","","","","505.0"
"538","Brandon Pettigrew","TE74","","","","","","","506.0"
"539","Kevin Hogan","TEN","13","QB81","","","","","","","507.0"
"540","Demetrius Harris","ARI","9","TE75","","","","","","","508.0"
"541","Joe Webb III","QB82","","","","","","","509.0"
"542","Logan Paulsen","TE76","","","","","","","510.0"
"543","Joel Stave","QB83","","","","","","","511.0"
"544","Connor Cook","QB84","","","","","","","512.0"
"545","Nate Sudfeld","SF","8","QB85","","","","","","","513.0"
"546","Josh Scobee","K30","","","","","","","534.0"
"547","Kai Forbath","LAR","8","K31","","","","","","","538.0"
"548","Cody Parkey","K32","","","","","","","539.0"
"549","Wil Lutz","NO","5","K33","","","","","","","542.0"
"550","Andrew Franks","K34","","","","","","","543.0"
"551","Caleb Sturgis","K35","","","","","","","544.0"
""
""
