"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"90","Antonio Gates","TE9","","89","107","","81","","91.3"
"91","Mike Williams","WR35","","88","90","","100","","91.8"
"92","Josh Gordon","KC","10","WR36","","94","85","","99","","95.0"
"93","Seattle Seahawks","DST","12","DST1","","110","89","","97","","95.5"
"94","Jared Cook","LAC","","TE10","","93","100","","94","","95.8"
"95","Eli Manning","QB13","","101","94","","103","","98.0"
"96","Kenny Britt","WR37","","96","92","","102","","98.8"
"97","Lance Moore","WR38","","95","101","","110","","101.0"
"98","Michael Vick","QB14","","98","110","","105","","102.5"
"99","San Francisco 49ers","DST","9","DST2","","112","103","","104","","102.8"
"100","Golden Tate","WR39","","100","123","","106","","106.0"
"101","Owen Daniels","TE11","","111","105","","115","","107.8"
"102","Bernard Pierce","RB36","","106","121","","91","","108.0"
"103","Chris Givens","WR40","","97","111","","127","","109.5"
"104","Ronnie Hillman","RB37","","105","122","","79","","110.0"
"105","Andy Dalton","CHI","8","QB15","","107","109","","116","","110.0"
"106","Fred Jackson","RB38","","103","138","","87","","111.3"
"107","Chicago Bears","DST","8","DST3","","121","116","","111","","111.8"
"108","Kenbrell Thompkins","WR41","","104","119","","120","","111.8"
"109","Vick Ballard","RB39","","114","113","","98","","114.3"
"110","Jordan Cameron","TE12","","102","120","","125","","114.3"
"111","Bryce Brown","RB40","","125","118","","88","","114.5"
"112","Danny Woodhead","RB41","","109","130","","92","","115.3"
"113","Houston Texans","DST","8","DST4","","141","114","","107","","117.0"
"114","DeAndre Hopkins","ARI","9","WR42","","119","108","","114","","117.5"
"115","Vincent Brown","WR43","","116","115","","121","","118.3"
"116","Denver Broncos","DST","9","DST5","","131","124","","117","","119.8"
"117","Brandon Myers","TE13","","123","131","","108","","120.0"
"118","Michael Floyd","WR44","","117","112","","132","","120.3"
"119","Justin Blackmon","WR45","","108","106","","146","","120.8"
"120","Emmanuel Sanders","BUF","12","WR46","","124","117","","122","","122.3"
