"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"1","LeSean McCoy","RB1","","","","","1","","1.0"
"2","Jamaal Charles","RB2","","","","","2","","2.0"
"3","Adrian Peterson","SEA","4","RB3","","","","","3","","3.0"
"4","Eddie Lacy","RB4","","","","","4","","4.0"
"5","Calvin Johnson","WR1","","","","","5","","5.0"
"6","Jimmy Graham","CHI","9","TE1","","","","","6","","6.0"
"7","Matt Forte","RB5","","","","","7","","7.0"
"8","Demaryius Thomas","WR2","","","","","8","","8.0"
"9","Dez Bryant","WR3","","","","","9","","9.0"
"10","Montee Ball","RB6","","","","","10","","10.0"
"11","Peyton Manning","QB1","","","","","11","","11.0"
"12","A.J. Green","ARI","4","WR4","","","","","12","","12.0"
"13","Julio Jones","TEN","9","WR5","","","","","13","","13.0"
"14","DeMarco Murray","RB7","","","","","14","","14.0"
"15","Brandon Marshall","WR6","","","","","15","","15.0"
"16","Marshawn Lynch","RB8","","","","","16","","16.0"
"17","Giovani Bernard","TB","7","RB9","","","","","17","","17.0"
"18","Antonio Brown","WR7","","","","","18","","18.0"
"19","Jordy Nelson","WR8","","","","","19","","19.0"
"20","Drew Brees","QB2","","","","","20","","20.0"
"21","Doug Martin","RB10","","","","","21","","21.0"
"22","Alshon Jeffery","WR9","","","","","22","","22.0"
"23","Aaron Rodgers","GB","9","QB3","","","","","23","","23.0"
"24","Andre Ellington","RB11","","","","","24","","24.0"
"25","Randall Cobb","GB","9","WR10","","","","","25","","25.0"
"26","Arian Foster","RB12","","","","","26","","26.0"
"27","Julius Thomas","TE2","","","","","27","","27.0"
"28","Keenan Allen","LAC","","WR11","","","","","28","","28.0"
"29","Le'Veon Bell","TB","7","RB13","","","","","29","","29.0"
"30","Rob Gronkowski","TB","7","TE3","","","","","30","","30.0"
"31","Shane Vereen","RB14","","","","","31","","31.0"
"32","Roddy White","WR12","","","","","32","","32.0"
"33","Zac Stacy","RB15","","","","","33","","33.0"
"34","Reggie Bush","RB16","","","","","34","","34.0"
"35","Alfred Morris","NYG","8","RB17","","","","","35","","35.0"
"36","Vincent Jackson","WR13","","","","","36","","36.0"
"37","Andre Johnson","WR14","","","","","37","","37.0"
"38","Cordarrelle Patterson","ATL","9","RB18","","","","","38","","38.0"
"39","Rashad Jennings","RB19","","","","","39","","39.0"
"40","Pierre Garcon","WR15","","","","","40","","40.0"
"41","Emmanuel Sanders","BUF","9","WR16","","","","","41","","41.0"
"42","Larry Fitzgerald","WR17","","","","","42","","42.0"
"43","C.J. Spiller","RB20","","","","","43","","43.0"
"44","Toby Gerhart","RB21","","","","","44","","44.0"
"45","Victor Cruz","WR18","","","","","45","","45.0"
"46","Joique Bell","RB22","","","","","46","","46.0"
"47","Matthew Stafford","LAR","","QB4","","","","","47","","47.0"
"48","Percy Harvin","WR19","","","","","48","","48.0"
"49","Michael Floyd","WR20","","","","","49","","49.0"
"50","Michael Crabtree","WR21","","","","","50","","50.0"
"51","Julian Edelman","WR22","","","","","51","","51.0"
"52","Ray Rice","RB23","","","","","52","","52.0"
"53","Ryan Mathews","RB24","","","","","53","","53.0"
"54","Jordan Cameron","TE4","","","","","54","","54.0"
"55","Andrew Luck","QB5","","","","","55","","55.0"
"56","Pierre Thomas","RB25","","","","","56","","56.0"
"57","Ben Tate","RB26","","","","","57","","57.0"
"58","Torrey Smith","WR23","","","","","58","","58.0"
"59","T.Y. Hilton","IND","10","WR24","","","","","59","","59.0"
"60","Frank Gore","RB27","","","","","60","","60.0"
"61","Chris Johnson","RB28","","","","","61","","61.0"
"62","Tom Brady","TB","7","QB6","","","","","62","","62.0"
"63","Kendall Wright","WR25","","","","","63","","63.0"
"64","Vernon Davis","TE5","","","","","64","","64.0"
"65","DeSean Jackson","LV","","WR26","","","","","65","","65.0"
"66","Jeremy Maclin","WR27","","","","","66","","66.0"
"67","Bishop Sankey","RB29","","","","","67","","67.0"
"68","Jason Witten","TE6","","","","","68","","68.0"
"69","Marques Colston","WR28","","","","","69","","69.0"
"70","Matt Ryan","ATL","9","QB7","","","","","70","","70.0"
"71","Wes Welker","WR29","","","","","71","","71.0"
"72","Kyle Rudolph","NYG","8","TE7","","","","","72","","72.0"
"73","Danny Woodhead","RB30","","","","","73","","73.0"
"74","Maurice Jones-Drew","RB31","","","","","74","","74.0"
"75","Golden Tate","WR30","","","","","75","","75.0"
"76","Brandin Cooks","HOU","10","WR31","","","","","76","","76.0"
"77","Nick Foles","CHI","9","QB8","","","","","77","","77.0"
"78","Trent Richardson","RB32","","","","","78","","78.0"
"79","Darren Sproles","RB33","","","","","79","","79.0"
"80","Mike Wallace","WR32","","","","","80","","80.0"
