"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"1","Arian Foster","RB1","","","1","","1","","1.0"
"2","Ray Rice","RB2","","","2","","2","","2.3"
"3","LeSean McCoy","RB3","","","4","","3","","3.0"
"4","Aaron Rodgers","GB","10","QB1","","","3","","4","","4.0"
"5","Calvin Johnson","WR1","","","5","","5","","5.3"
"6","Chris Johnson","RB4","","","6","","7","","5.7"
"7","Darren McFadden","RB5","","","9","","6","","7.3"
"8","Tom Brady","TB","5","QB2","","","7","","8","","7.7"
"9","Drew Brees","QB3","","","8","","10","","9.0"
"10","Jimmy Graham","CHI","6","TE1","","","11","","11","","11.0"
"11","Matt Forte","RB6","","","10","","9","","11.7"
"12","DeMarco Murray","RB7","","","17","","12","","13.0"
"13","Rob Gronkowski","TB","5","TE2","","","15","","16","","14.3"
"14","Maurice Jones-Drew","RB8","","","13","","19","","16.7"
"15","Adrian Peterson","SEA","11","RB9","","","20","","18","","17.3"
"16","Jamaal Charles","RB10","","","23","","15","","17.7"
"17","Cam Newton","CAR","6","QB4","","","12","","27","","18.7"
"18","Julio Jones","TEN","11","WR2","","","18","","13","","18.7"
"19","Larry Fitzgerald","WR3","","","14","","23","","19.3"
"20","Marshawn Lynch","RB11","","","26","","14","","19.7"
"21","Matthew Stafford","LAR","","QB5","","","16","","22","","20.7"
"22","Trent Richardson","RB12","","","27","","28","","22.7"
"23","Steven Jackson","RB13","","","32","","20","","24.7"
"24","Fred Jackson","RB14","","","35","","17","","26.0"
"25","Andre Johnson","WR4","","","21","","30","","27.7"
"26","Wes Welker","WR5","","","19","","32","","29.3"
"27","Doug Martin","RB15","","","39","","26","","29.3"
"28","A.J. Green","ARI","10","WR6","","","24","","29","","29.3"
"29","Brandon Marshall","WR7","","","30","","24","","29.3"
"30","Ryan Mathews","RB16","","","22","","21","","30.3"
"31","Greg Jennings","WR8","","","29","","33","","30.7"
"32","Darren Sproles","RB17","","","28","","25","","31.0"
"33","Victor Cruz","WR9","","","31","","35","","31.0"
"34","Michael Turner","RB18","","","42","","34","","32.0"
"35","Roddy White","WR10","","","25","","31","","33.0"
"36","Ahmad Bradshaw","RB19","","","36","","36","","33.3"
"37","Frank Gore","RB20","","","44","","39","","37.3"
