"Rank","Player","Team","Position","Points","Games","Avg"
"1","David Johnson","ARI","RB","400.4","15","26.7"
"2","Aaron Rodgers","GB","QB","345.8","15","23.1"
"3","Ezekiel Elliott","DAL","RB","325.4","15","21.7"
"4","Matt Ryan","ATL","QB","318.1","15","21.2"
"5","Le'Veon Bell","PIT","RB","317.4","12","26.5"
"6","Drew Brees","NO","QB","312.3","15","20.8"
"7","Antonio Brown","PIT","WR","307.3","15","20.5"
"8","LeSean McCoy","BUF","RB","296.7","14","21.2"
"9","Jordy Nelson","GB","WR","292.1","15","19.5"
"10","DeMarco Murray","TEN","RB","290.9","15","19.4"
"11","Kirk Cousins","WAS","QB","289.2","15","19.3"
"12","Andrew Luck","IND","QB","289.1","14","20.7"
"13","Odell Beckham Jr.","NYG","WR","287.2","15","19.2"
"14","Mike Evans","TB","WR","286.6","15","19.1"
"15","Dak Prescott","DAL","QB","284.7","15","19.0"
"16","Tyrod Taylor","BUF","QB","270.9","15","18.1"
"17","Derek Carr","OAK","QB","268.4","15","17.9"
"18","Marcus Mariota","TEN","QB","260.7","15","17.4"
"19","Matthew Stafford","DET","QB","259.8","15","17.3"
"20","T.Y. Hilton","IND","WR","258.3","15","17.2"
"21","Blake Bortles","JAC","QB","257.0","15","17.1"
"22","Russell Wilson","SEA","QB","255.4","15","17.0"
"23","Devonta Freeman","ATL","RB","255.4","15","17.0"
"24","Ben Roethlisberger","PIT","QB","252.3","14","18.0"
"25","Melvin Gordon III","SD","RB","250.6","13","19.3"
"26","Andy Dalton","CIN","QB","247.2","15","16.5"
"26","Doug Baldwin","SEA","WR","247.2","15","16.5"
"28","Jameis Winston","TB","QB","246.6","15","16.4"
"29","Cam Newton","CAR","QB","246.2","14","17.6"
"30","Philip Rivers","SD","QB","244.1","15","16.3"
"31","Brandin Cooks","NO","WR","241.4","14","17.2"
"32","Julio Jones","ATL","WR","237.3","13","18.3"
"33","Joe Flacco","BAL","QB","233.3","15","15.6"
"34","Tom Brady","NE","QB","232.8","11","21.2"
"35","Larry Fitzgerald","ARI","WR","229.6","15","15.3"
"36","Michael Crabtree","OAK","WR","229.6","15","15.3"
"37","Michael Thomas","NO","WR","224.1","14","16.0"
"38","Davante Adams","GB","WR","223.6","15","14.9"
"39","Carson Palmer","ARI","QB","223.0","14","15.9"
"40","LeGarrette Blount","NE","RB","221.8","15","14.8"
"41","Travis Kelce","KC","TE","221.2","15","14.8"
"42","Demaryius Thomas","DEN","WR","217.6","15","14.5"
"43","Mark Ingram II","NO","RB","217.0","15","14.5"
"44","Amari Cooper","OAK","WR","217.0","15","14.5"
"45","Eli Manning","NYG","QB","216.9","15","14.5"
"46","Jordan Howard","CHI","RB","216.6","14","15.5"
"47","Emmanuel Sanders","DEN","WR","212.6","15","14.2"
"48","Jarvis Landry","MIA","WR","208.9","15","13.9"
"49","Frank Gore","IND","RB","204.7","15","13.7"
"50","Latavius Murray","OAK","RB","204.7","13","15.8"
"51","Jay Ajayi","MIA","RB","204.4","14","14.6"
"52","Tyrell Williams","SD","WR","203.9","15","13.6"
"53","Golden Tate","DET","WR","202.7","15","13.5"
"54","Greg Olsen","CAR","TE","202.1","15","13.5"
"55","Alex Smith","KC","QB","200.2","14","14.3"
"56","Sam Bradford","MIN","QB","199.5","14","14.3"
"57","Julian Edelman","NE","WR","198.6","15","13.2"
"58","Terrelle Pryor Sr.","CLE","WR","197.0","15","13.1"
"59","Kenny Britt","LAR","WR","196.2","15","13.1"
"60","Mike Wallace","BAL","WR","195.5","15","13.0"
"61","Carson Wentz","PHI","QB","194.9","15","13.0"
"62","Spencer Ware","KC","RB","193.9","14","13.9"
"63","Adam Thielen","MIN","WR","193.5","15","12.9"
"64","Stefon Diggs","MIN","WR","193.3","13","14.9"
"65","Carlos Hyde","SF","RB","192.1","13","14.8"
"66","Lamar Miller","HOU","RB","191.1","14","13.7"
"67","Ryan Tannehill","MIA","QB","190.4","13","14.7"
"68","Colin Kaepernick","SF","QB","188.1","10","18.8"
"69","Jamison Crowder","WAS","WR","187.9","15","12.5"
"69","Tyreek Hill","KC","WR","187.9","15","12.5"
"71","Pierre Garcon","WAS","WR","187.5","15","12.5"
"72","Isaiah Crowell","CLE","RB","186.5","15","12.4"
"73","Todd Gurley II","LAR","RB","186.5","15","12.4"
"74","A.J. Green","CIN","WR","186.4","10","18.6"
"75","Allen Robinson II","JAC","WR","186.1","15","12.4"
"76","Rishard Matthews","TEN","WR","185.1","15","12.3"
"77","Matt Forte","NYJ","RB","183.6","14","13.1"
"78","Cole Beasley","DAL","WR","181.1","15","12.1"
"79","Kyle Rudolph","MIN","TE","180.3","15","12.0"
"80","Willie Snead IV","NO","WR","180.3","14","12.9"
"81","Dez Bryant","DAL","WR","180.0","12","15.0"
"82","Delanie Walker","TEN","TE","179.6","14","12.8"
"83","Jimmy Graham","SEA","TE","178.9","15","11.9"
"84","DeAndre Hopkins","HOU","WR","178.1","15","11.9"
"85","Trevor Siemian","DEN","QB","177.9","13","13.7"
"86","Sterling Shepard","NYG","WR","177.7","15","11.9"
"87","Steve Smith","BAL","WR","177.5","13","13.7"
"88","Jeremy Hill","CIN","RB","176.3","15","11.8"
"89","Tevin Coleman","ATL","RB","176.2","12","14.7"
"90","Kelvin Benjamin","CAR","WR","175.8","15","11.7"
"91","DeSean Jackson","WAS","WR","175.1","14","12.5"
"92","Bilal Powell","NYJ","RB","174.3","15","11.6"
"93","Brandon LaFell","CIN","WR","172.3","15","11.5"
"94","Jordan Matthews","PHI","WR","171.4","14","12.2"
"95","Cameron Brate","TB","TE","171.0","15","11.4"
"95","Matt Bryant","ATL","K","171.0","15","11.4"
"95","Justin Tucker","BAL","K","171.0","15","11.4"
"98","Cameron Meredith","CHI","WR","165.3","13","12.7"
"99","Terrance West","BAL","RB","163.5","15","10.9"
"100","Theo Riddick","DET","RB","161.8","10","16.2"
"101","Marvin Jones Jr.","DET","WR","159.7","14","11.4"
"102","Marqise Lee","JAC","WR","157.8","15","10.5"
"103","Anquan Boldin","DET","WR","157.7","15","10.5"
"104","Kansas City Chiefs","KC","DST","157.0","15","10.5"
"104","Philadelphia Eagles","PHI","DST","157.0","15","10.5"
"106","Brandon Marshall","NYJ","WR","156.7","15","10.5"
"107","Darren Sproles","PHI","RB","155.9","14","11.1"
"108","Martellus Bennett","NE","TE","155.8","15","10.4"
"109","Quincy Enunwa","NYJ","WR","155.8","15","10.4"
"110","Jordan Reed","WAS","TE","155.6","11","14.2"
"111","New England Patriots","NE","DST","155.0","15","10.3"
"112","James White","NE","RB","154.7","15","10.3"
"113","Kenny Stills","MIA","WR","154.5","15","10.3"
"114","Dontrelle Inman","SD","WR","153.9","15","10.3"
"115","Minnesota Vikings","MIN","DST","153.0","15","10.2"
"116","Jason Witten","DAL","TE","150.3","14","10.7"
"117","Dennis Pitta","BAL","TE","148.8","15","9.9"
"118","Brock Osweiler","HOU","QB","148.7","14","10.6"
"119","Randall Cobb","GB","WR","148.3","13","11.4"
"120","Denver Broncos","DEN","DST","148.0","15","9.9"
"121","Dustin Hopkins","WAS","K","147.0","15","9.8"
"122","Ted Ginn Jr.","CAR","WR","145.7","15","9.7"
"123","DeVante Parker","MIA","WR","144.9","14","10.4"
"124","Tavon Austin","LAR","WR","144.8","14","10.3"
"125","Zach Ertz","PHI","TE","144.7","13","11.1"
"126","Duke Johnson Jr.","CLE","RB","144.6","15","9.6"
"126","Ryan Mathews","PHI","RB","144.6","13","11.1"
"128","Alshon Jeffery","CHI","WR","144.1","11","13.1"
"129","Adam Vinatieri","IND","K","142.0","15","9.5"
"130","Taylor Gabriel","ATL","WR","141.9","12","11.8"
"131","Arizona Cardinals","ARI","DST","141.0","15","9.4"
"131","Caleb Sturgis","PHI","K","141.0","15","9.4"
"133","Sebastian Janikowski","OAK","K","140.0","15","9.3"
"133","Matt Prater","DET","K","140.0","15","9.3"
"135","Wil Lutz","NO","K","138.0","15","9.2"
"136","T.J. Yeldon","JAC","RB","137.7","15","9.2"
"137","Chris Thompson","WAS","RB","137.3","15","9.2"
"138","Jack Doyle","IND","TE","136.4","15","9.1"
"139","Nick Novak","HOU","K","136.0","14","9.7"
"139","Miami Dolphins","MIA","DST","136.0","15","9.1"
"141","Mohamed Sanu Sr.","ATL","WR","135.6","14","9.7"
"142","Baltimore Ravens","BAL","DST","135.0","15","9.0"
"142","Graham Gano","CAR","K","135.0","15","9.0"
"144","Jeremy Kerley","SF","WR","134.6","15","9.0"
"145","Christine Michael","Multi","RB","134.4","14","9.6"
"146","Travis Benjamin","SD","WR","132.4","14","9.5"
"147","Jonathan Stewart","CAR","RB","132.2","12","11.0"
"148","Eric Ebron","DET","TE","132.1","12","11.0"
"149","Dan Bailey","DAL","K","132.0","15","8.8"
"150","Ty Montgomery","GB","RB","131.4","14","9.4"
"151","Antonio Gates","SD","TE","131.3","12","10.9"
"152","Charles Clay","BUF","TE","131.2","14","9.4"
"153","Coby Fleener","NO","TE","130.5","15","8.7"
"154","Stephen Gostkowski","NE","K","130.0","15","8.7"
"154","New York Giants","NYG","DST","130.0","15","8.7"
"156","Robert Kelley","WAS","RB","129.3","13","10.0"
"157","Seattle Seahawks","SEA","DST","129.0","15","8.6"
"158","J.J. Nelson","ARI","WR","127.6","13","9.8"
"159","Tampa Bay Buccaneers","TB","DST","127.0","15","8.5"
"160","Brandon McManus","DEN","K","126.0","15","8.4"
"160","Cairo Santos","KC","K","126.0","15","8.4"
"162","Rashad Jennings","NYG","RB","125.7","12","10.5"
"163","Matt Asiata","MIN","RB","125.0","15","8.3"
"163","Stephen Hauschka","SEA","K","125.0","15","8.3"
"165","C.J. Fiedorowicz","HOU","TE","124.7","14","8.9"
"166","Tyler Lockett","SEA","WR","124.1","15","8.3"
"167","Jason Myers","JAC","K","124.0","15","8.3"
"168","Los Angeles Chargers","LAC","DST","123.0","15","8.2"
"169","Jerick McKinnon","MIN","RB","122.4","14","8.7"
"170","Giovani Bernard","CIN","RB","122.3","10","12.2"
"171","Chris Hogan","NE","WR","122.2","14","8.7"
"172","Mason Crosby","GB","K","122.0","15","8.1"
"173","Buffalo Bills","BUF","DST","121.0","15","8.1"
"174","Zach Miller","CHI","TE","119.6","10","12.0"
"175","Tim Hightower","NO","RB","117.9","15","7.9"
"176","Devontae Booker","DEN","RB","117.8","15","7.9"
"177","Josh Lambo","SD","K","117.0","15","7.8"
"178","Ryan Fitzpatrick","NYJ","QB","116.9","13","9.0"
"179","Will Fuller V","HOU","WR","116.8","13","9.0"
"180","Tyler Boyd","CIN","WR","116.7","15","7.8"
"181","Hunter Henry","SD","TE","115.9","12","9.7"
"182","Gary Barnidge","CLE","TE","115.2","15","7.7"
"183","Atlanta Falcons","ATL","DST","115.0","15","7.7"
"184","Jalen Richard","OAK","RB","114.8","15","7.7"
"185","Carolina Panthers","CAR","DST","114.0","15","7.6"
"186","Eli Rogers","PIT","WR","113.9","12","9.5"
"187","Mike Gillislee","BUF","RB","113.6","14","8.1"
"188","Adam Humphries","TB","WR","113.6","14","8.1"
"189","Terrance Williams","DAL","WR","113.1","14","8.1"
"190","Green Bay Packers","GB","DST","113.0","15","7.5"
"190","Ryan Succop","TEN","K","113.0","15","7.5"
"192","Brian Quick","LAR","WR","111.9","15","7.5"
"193","Case Keenum","LAR","QB","111.0","10","11.1"
"193","Dallas Cowboys","DAL","DST","111.0","15","7.4"
"195","Robert Woods","BUF","WR","110.6","12","9.2"
"196","Pittsburgh Steelers","PIT","DST","109.0","15","7.3"
"197","Cordarrelle Patterson","MIN","RB","108.7","15","7.3"
"198","Vernon Davis","WAS","TE","107.4","14","7.7"
"199","Chris Boswell","PIT","K","107.0","14","7.6"
"200","Lance Kendricks","LAR","TE","106.7","15","7.1"
"201","Robby Anderson","NYJ","WR","106.6","13","8.2"
"202","Seth Roberts","OAK","WR","106.1","15","7.1"
"203","Tajae Sharpe","TEN","WR","105.3","15","7.0"
"204","Houston Texans","HOU","DST","104.0","15","6.9"
"204","Chicago Bears","CHI","DST","104.0","15","6.9"
"206","Michael Floyd","Multi","WR","103.2","13","7.9"
"207","Chandler Catanzaro","ARI","K","103.0","15","6.9"
"208","Donte Moncrief","IND","WR","102.6","9","11.4"
"209","C.J. Anderson","DEN","RB","102.5","7","14.6"
"210","Washington Football Team","WAS","DST","102.0","15","6.8"
"211","Ryan Griffin","HOU","TE","101.2","15","6.8"
"211","Dwayne Allen","IND","TE","101.2","13","7.8"
"213","Las Vegas Raiders","LV","DST","101.0","15","6.7"
"214","Allen Hurns","JAC","WR","100.7","11","9.2"
"215","Jeremy Maclin","KC","WR","100.2","11","9.1"
"216","Nick Folk","NYJ","K","100.0","15","6.7"
"217","John Brown","ARI","WR","99.2","14","7.1"
"218","Los Angeles Rams","LAR","DST","99.0","15","6.6"
"218","Dan Carpenter","BUF","K","99.0","15","6.6"
"220","Victor Cruz","NYG","WR","98.9","13","7.6"
"221","Tyler Eifert","CIN","TE","98.4","8","12.3"
"222","Cincinnati Bengals","CIN","DST","98.0","15","6.5"
"223","Rob Gronkowski","NE","TE","97.0","8","12.1"
"223","Robert Turbin","IND","RB","97.0","14","6.9"
"223","Mike Nugent","CIN","K","97.0","13","7.5"
"226","Malcolm Mitchell","NE","WR","96.1","12","8.0"
"227","Roberto Aguayo","TB","K","96.0","15","6.4"
"228","Chris Ivory","JAC","RB","94.5","11","8.6"
"229","Phil Dawson","SF","K","93.0","15","6.2"
"230","Indianapolis Colts","IND","DST","92.0","15","6.1"
"231","Derrick Henry","TEN","RB","91.9","13","7.1"
"232","Jermaine Kearse","SEA","WR","91.6","15","6.1"
"233","Breshad Perriman","BAL","WR","90.9","14","6.5"
"234","Kendall Wright","TEN","WR","90.1","11","8.2"
"235","Andrew Franks","MIA","K","90.0","15","6.0"
"236","Damien Williams","MIA","RB","89.6","14","6.4"
"237","Phillip Dorsett II","IND","WR","89.2","14","6.4"
"238","Marquise Goodwin","BUF","WR","88.3","13","6.8"
"239","Nelson Agholor","PHI","WR","88.0","14","6.3"
"240","Jermaine Gresham","ARI","TE","88.0","15","5.9"
"240","Detroit Lions","DET","DST","88.0","15","5.9"
"242","Chris Conley","KC","WR","87.5","15","5.8"
"243","Jesse James","PIT","TE","87.2","15","5.8"
"244","Vance McDonald","SF","TE","87.1","10","8.7"
"245","Kenneth Dixon","BAL","RB","87.1","11","7.9"
"246","Devin Funchess","CAR","WR","86.1","14","6.2"
"247","Connor Barth","CHI","K","86.0","15","5.7"
"248","Doug Martin","TB","RB","85.5","8","10.7"
"249","Will Tye","NYG","TE","84.8","15","5.7"
"250","Dorial Green-Beckham","PHI","WR","84.7","13","6.5"
"251","Clive Walford","OAK","TE","84.2","14","6.0"
"252","Corey Coleman","CLE","WR","83.4","9","9.3"
"253","Travaris Cadet","NO","RB","83.2","14","5.9"
"254","Cody Parkey","CLE","K","83.0","13","6.4"
