"Rank","Player","Team","Position","Points","Games","Avg"
"41","Odell Beckham Jr.","NYG","WR","230.4","12","19.2"
"42","Kareem Hunt","KC","RB","230.2","11","20.9"
"43","George Kittle","SF","TE","228.8","15","15.3"
"44","Phillip Lindsay","DEN","RB","222.8","15","14.9"
"45","Tarik Cohen","CHI","RB","222.7","15","14.9"
"46","Eli Manning","NYG","QB","221.8","15","14.8"
"47","Tyler Boyd","CIN","WR","221.1","14","15.8"
"48","Brandin Cooks","LAR","WR","220.0","14","15.7"
"49","Baker Mayfield","CLE","QB","219.0","13","16.9"
"50","Derek Carr","OAK","QB","215.4","15","14.4"
"51","Amari Cooper","Multi","WR","209.3","14","15.0"
"52","Tyler Lockett","SEA","WR","207.5","15","13.8"
"53","Kenny Golladay","DET","WR","207.1","15","13.8"
"54","Eric Ebron","IND","TE","206.2","15","13.8"
"55","Case Keenum","DEN","QB","202.5","15","13.5"
"56","Emmanuel Sanders","DEN","WR","198.2","12","16.5"
"57","Jarvis Landry","CLE","WR","195.9","15","13.1"
"58","Matthew Stafford","DET","QB","193.7","15","12.9"
"59","Carson Wentz","PHI","QB","193.4","11","17.6"
"60","Calvin Ridley","ATL","WR","192.6","15","12.8"
"61","Kenyan Drake","MIA","RB","191.7","15","12.8"
"62","Nick Chubb","CLE","RB","190.5","15","12.7"
"63","Derrick Henry","TEN","RB","189.7","15","12.7"
"64","Adrian Peterson","WAS","RB","189.0","15","12.6"
"65","Jared Cook","OAK","TE","187.8","15","12.5"
"66","Julian Edelman","NE","WR","187.1","11","17.0"
"67","Chicago Bears","CHI","DST","183.0","15","12.2"
"68","Chris Carson","SEA","RB","181.5","13","14.0"
"69","Tevin Coleman","ATL","RB","181.2","15","12.1"
"70","Adam Humphries","TB","WR","177.1","15","11.8"
"71","Marcus Mariota","TEN","QB","176.0","14","12.6"
"72","Golden Tate","Multi","WR","175.6","14","12.5"
"73","Andy Dalton","CIN","QB","174.5","11","15.9"
"74","Corey Davis","TEN","WR","173.8","15","11.6"
"75","T.J. Yeldon","JAC","RB","173.1","14","12.4"
"76","Larry Fitzgerald","ARI","WR","172.1","15","11.5"
"77","Dede Westbrook","JAC","WR","171.6","15","11.4"
"78","Aaron Jones","GB","RB","171.5","12","14.3"
"79","Sterling Shepard","NYG","WR","170.9","15","11.4"
"80","Blake Bortles","JAC","QB","169.5","12","14.1"
"81","Alshon Jeffery","PHI","WR","168.4","12","14.0"
"82","Josh Allen","BUF","QB","167.6","11","15.2"
"83","Jameis Winston","TB","QB","165.9","10","16.6"
"84","Ryan Fitzpatrick","TB","QB","165.8","8","20.7"
"85","Mike Williams","LAC","WR","163.8","15","10.9"
"86","Matt Breida","SF","RB","162.5","14","11.6"
"87","Ka'imi Fairbairn","HOU","K","162.0","15","10.8"
"87","Mohamed Sanu Sr.","ATL","WR","162.0","15","10.8"
"89","Sam Darnold","NYJ","QB","160.9","12","13.4"
"90","Marlon Mack","IND","RB","159.3","11","14.5"
"91","Lamar Miller","HOU","RB","159.0","13","12.2"
"92","Austin Ekeler","LAC","RB","157.0","13","12.1"
"93","Demaryius Thomas","Multi","WR","156.7","15","10.5"
"94","Chris Godwin","TB","WR","155.8","15","10.4"
"95","Jordan Howard","CHI","RB","155.6","15","10.4"
"96","Dion Lewis","TEN","RB","155.4","15","10.4"
"97","Nyheim Hines","IND","RB","155.0","15","10.3"
"98","Allen Robinson II","CHI","WR","153.3","13","11.8"
"99","Jalen Richard","OAK","RB","152.8","15","10.2"
"100","DeSean Jackson","TB","WR","151.3","12","12.6"
"101","Austin Hooper","ATL","TE","151.3","15","10.1"
"102","Robby Anderson","NYJ","WR","151.0","13","11.6"
"103","A.J. Green","CIN","WR","149.4","9","16.6"
"104","Wil Lutz","NO","K","149.0","15","9.9"
"105","Jason Myers","NYJ","K","147.0","15","9.8"
"106","Kyle Rudolph","MIN","TE","145.5","15","9.7"
"107","Mason Crosby","GB","K","145.0","15","9.7"
"107","Justin Tucker","BAL","K","145.0","15","9.7"
"109","DJ Moore","CAR","WR","144.9","15","9.7"
"110","Nelson Agholor","PHI","WR","144.4","15","9.6"
"111","Peyton Barber","TB","RB","142.5","15","9.5"
"112","John Brown","BAL","WR","142.2","15","9.5"
"113","Harrison Butker","KC","K","142.0","15","9.5"
"113","Dalvin Cook","MIN","RB","142.0","10","14.2"
"115","Taylor Gabriel","CHI","WR","141.8","15","9.5"
"116","Isaiah Crowell","NYJ","RB","140.7","13","10.8"
"117","Jordy Nelson","OAK","WR","139.9","14","10.0"
"118","Kerryon Johnson","DET","RB","139.4","10","13.9"
"119","Trey Burton","CHI","TE","138.8","15","9.3"
"120","Josh Gordon","Multi","WR","138.7","12","11.6"
"121","Zay Jones","BUF","WR","137.9","15","9.2"
"122","Alex Smith","WAS","QB","137.9","10","13.8"
"123","Doug Baldwin","SEA","WR","137.1","12","11.4"
"124","Joe Flacco","BAL","QB","137.0","9","15.2"
"125","Mark Ingram II","NO","RB","136.2","11","12.4"
"126","Cooper Kupp","LAR","WR","135.1","8","16.9"
"127","Ryan Tannehill","MIA","QB","134.9","10","13.5"
"128","David Njoku","CLE","TE","134.7","14","9.6"
"129","Sony Michel","NE","RB","134.1","12","11.2"
"130","Brett Maher","DAL","K","134.0","15","8.9"
"131","Tyrell Williams","LAC","WR","133.5","14","9.5"
"132","Robbie Gould","SF","K","133.0","15","8.9"
"133","Courtland Sutton","DEN","WR","132.8","15","8.9"
"134","Lamar Jackson","BAL","QB","131.6","15","8.8"
"135","Aldrick Rosas","NYG","K","131.0","15","8.7"
"135","Los Angeles Rams","LAR","DST","131.0","15","8.7"
"137","Willie Snead IV","BAL","WR","130.9","14","9.4"
"138","Latavius Murray","MIN","RB","130.1","15","8.7"
"139","Houston Texans","HOU","DST","130.0","15","8.7"
"139","Stephen Gostkowski","NE","K","130.0","15","8.7"
"141","Cole Beasley","DAL","WR","128.8","15","8.6"
"142","Michael Crabtree","BAL","WR","128.7","15","8.6"
"143","Duke Johnson Jr.","CLE","RB","128.6","15","8.6"
"144","Rob Gronkowski","NE","TE","126.8","12","10.6"
"145","Donte Moncrief","JAC","WR","126.7","15","8.5"
"146","Vance McDonald","PIT","TE","126.1","14","9.0"
"147","Jimmy Graham","GB","TE","125.5","15","8.4"
"148","Kenny Stills","MIA","WR","124.6","14","8.9"
"149","Minnesota Vikings","MIN","DST","124.0","15","8.3"
"150","Christian Kirk","ARI","WR","123.5","12","10.3"
"151","Mike Davis","SEA","RB","123.2","14","8.8"
"152","Devin Funchess","CAR","WR","122.9","14","8.8"
"153","Curtis Samuel","CAR","WR","121.6","12","10.1"
"154","Dustin Hopkins","WAS","K","121.0","15","8.1"
"155","Danny Amendola","MIA","WR","120.8","14","8.6"
"156","O.J. Howard","TB","TE","120.5","10","12.1"
"157","Leonard Fournette","JAC","RB","120.4","8","15.1"
"158","Baltimore Ravens","BAL","DST","120.0","15","8.0"
"159","Jordan Reed","WAS","TE","119.8","13","9.2"
"160","Anthony Miller","CHI","WR","119.5","14","8.5"
"161","Sebastian Janikowski","SEA","K","118.0","15","7.9"
"162","Cody Parkey","CHI","K","117.0","15","7.8"
"162","Matt Prater","DET","K","117.0","15","7.8"
"164","Jake Elliott","PHI","K","116.0","15","7.7"
"165","Marvin Jones Jr.","DET","WR","115.8","9","12.9"
"166","Sammy Watkins","KC","WR","115.1","10","11.5"
"167","Washington Football Team","WAS","DST","115.0","15","7.7"
"167","Adam Vinatieri","IND","K","115.0","14","8.2"
"169","LeSean McCoy","BUF","RB","114.8","13","8.8"
"170","Antonio Callaway","CLE","WR","114.4","15","7.6"
"171","Theo Riddick","DET","RB","114.1","13","8.8"
"172","Greg Zuerlein","LAR","K","114.0","10","11.4"
"173","New England Patriots","NE","DST","112.0","15","7.5"
"173","Ryan Succop","TEN","K","112.0","15","7.5"
"173","Denver Broncos","DEN","DST","112.0","15","7.5"
"176","Chris Herndon IV","NYJ","TE","111.4","13","8.6"
"177","Seattle Seahawks","SEA","DST","111.0","15","7.4"
"178","Chester Rogers","IND","WR","110.9","15","7.4"
"179","Doug Martin","OAK","RB","110.8","15","7.4"
"180","Jamaal Williams","GB","RB","109.4","15","7.3"
"181","Alex Collins","BAL","RB","108.6","10","10.9"
"182","New Orleans Saints","NO","DST","108.0","15","7.2"
"183","Josh Rosen","ARI","QB","107.0","13","8.2"
"184","Will Fuller V","HOU","WR","106.3","7","15.2"
"185","Indianapolis Colts","IND","DST","106.0","15","7.1"
"186","Wendell Smallwood","PHI","RB","105.7","14","7.6"
"187","Rashard Higgins","CLE","WR","105.6","12","8.8"
"188","Evan Engram","NYG","TE","105.2","10","10.5"
"189","Nick Mullens","SF","QB","104.4","7","14.9"
"190","Josh Doctson","WAS","WR","103.9","14","7.4"
"191","Marquez Valdes-Scantling","GB","WR","103.7","15","6.9"
"192","Dante Pettis","SF","WR","103.5","12","8.6"
"193","C.J. Uzomah","CIN","TE","103.3","15","6.9"
"194","Brandon McManus","DEN","K","103.0","15","6.9"
"194","Tennessee Titans","TEN","DST","103.0","15","6.9"
"196","Frank Gore","MIA","RB","102.6","14","7.3"
"197","Pittsburgh Steelers","PIT","DST","102.0","15","6.8"
"198","Stephen Hauschka","BUF","K","100.0","15","6.7"
"199","Seth Roberts","OAK","WR","99.2","14","7.1"
"200","Kansas City Chiefs","KC","DST","99.0","15","6.6"
"200","Miami Dolphins","MIA","DST","99.0","15","6.6"
"202","Randy Bullock","CIN","K","98.0","15","6.5"
"202","Jacksonville Jaguars","JAC","DST","98.0","15","6.5"
"204","Kendrick Bourne","SF","WR","97.8","15","6.5"
"204","Mark Andrews","BAL","TE","97.8","15","6.5"
"206","Ito Smith","ATL","RB","97.7","13","7.5"
"207","David Moore","SEA","WR","97.4","12","8.1"
"208","Dallas Cowboys","DAL","DST","97.0","15","6.5"
"208","Matt Bryant","ATL","K","97.0","12","8.1"
"210","Albert Wilson","MIA","WR","96.8","7","13.8"
"211","Carlos Hyde","Multi","RB","94.5","13","7.3"
"212","Cleveland Browns","CLE","DST","94.0","15","6.3"
"212","Dan Bailey","MIN","K","94.0","13","7.2"
"214","Chris Hogan","NE","WR","93.8","15","6.3"
"215","Javorius Allen","BAL","RB","93.6","13","7.2"
