"Rank","Player","Team","Position","Points","Games","Avg"
"421","Luke Willson","DET","TE","21.7","11","2.0"
"422","Logan Paulsen","ATL","TE","21.2","8","2.7"
"423","Dalton Schultz","DAL","TE","20.9","7","3.0"
"424","Rod Smith","DAL","RB","20.8","13","1.6"
"425","Ronald Jones II","TB","RB","20.7","8","2.6"
"425","Josh McCown","NYJ","QB","20.7","4","5.2"
"427","Zach Line","NO","RB","20.6","12","1.7"
"427","MyCole Pruitt","Multi","TE","20.6","6","3.4"
"429","Logan Thomas","BUF","TE","20.3","9","2.3"
"429","C.J. Ham","MIN","RB","20.3","13","1.6"
"431","Scott Simonson","NYG","TE","20.2","9","2.2"
"432","Anthony Sherman","KC","RB","19.9","10","2.0"
"433","Derek Carrier","OAK","TE","19.7","10","2.0"
"433","Corey Grant","JAC","RB","19.7","5","3.9"
"435","Niles Paul","JAC","TE","19.5","6","3.3"
"436","Jake Kumerow","GB","WR","19.4","4","4.9"
"437","Leonte Carroo","MIA","WR","18.8","4","4.7"
"438","Cody Latimer","NYG","WR","18.8","5","3.8"
"439","Seth DeValve","CLE","TE","18.4","7","2.6"
"440","Andre Roberts","NYJ","WR","18.1","15","1.2"
"441","Brice Butler","Multi","WR","18.0","6","3.0"
"442","Adam Shaheen","CHI","TE","17.8","4","4.5"
"443","Dontrell Hilliard","CLE","RB","17.5","10","1.8"
"444","Darius Jennings","TEN","WR","17.4","13","1.3"
"445","Matt Barkley","Multi","QB","17.1","1","17.1"
"446","Jake Butt","DEN","TE","16.5","3","5.5"
"447","Jermaine Gresham","ARI","TE","16.4","9","1.8"
"448","Cameron Batson","TEN","WR","16.3","9","1.8"
"449","Robert Tonyan","GB","TE","16.0","6","2.7"
"450","Eric Tomlinson","NYJ","TE","15.2","13","1.2"
"451","Jeremy Sprinkle","WAS","TE","15.1","7","2.2"
"452","Stevan Ridley","PIT","RB","14.8","9","1.6"
"453","Andy Janovich","DEN","RB","14.7","12","1.2"
"454","Vyncint Smith","HOU","WR","14.3","3","4.8"
"455","Devonta Freeman","ATL","RB","14.1","2","7.1"
"456","Andy Jones","DET","WR","14.0","5","2.8"
"457","Taylor Heinicke","CAR","QB","13.9","5","2.8"
"457","Elijhaa Penny","Multi","RB","13.9","10","1.4"
"459","A.J. Derby","MIA","TE","13.8","3","4.6"
"460","Richie James Jr.","SF","WR","13.8","11","1.3"
"461","Blake Bell","JAC","TE","13.7","7","2.0"
"462","Alex Armah Jr.","CAR","RB","13.4","9","1.5"
"463","J.J. Nelson","ARI","WR","13.4","9","1.5"
"464","Chris Manhertz","CAR","TE","13.2","6","2.2"
