"Rank","Player","Team","Position","Points","Games","Avg"
"1","Drew Brees","NO","QB","319.6","15","21.3"
"2","LeSean McCoy","PHI","RB","310.2","15","20.7"
"3","Josh Gordon","CLE","WR","299.2","13","23.0"
"4","Antonio Brown","PIT","WR","291.2","15","19.4"
"5","A.J. Green","CIN","WR","290.5","15","19.4"
"6","Jimmy Graham","NO","TE","285.4","15","19.0"
"7","Cam Newton","CAR","QB","278.6","15","18.6"
"8","Alshon Jeffery","CHI","WR","274.6","15","18.3"
"9","Dez Bryant","DAL","WR","268.5","15","17.9"
"10","Andy Dalton","CIN","QB","268.5","15","17.9"
"11","Matthew Stafford","DET","QB","266.3","15","17.8"
"12","DeSean Jackson","PHI","WR","263.6","15","17.6"
"13","Russell Wilson","SEA","QB","259.5","15","17.3"
"14","Alex Smith","KC","QB","254.2","15","17.0"
"15","Ben Roethlisberger","PIT","QB","250.8","15","16.7"
"16","Nick Foles","PHI","QB","243.7","12","20.3"
"17","Tom Brady","NE","QB","242.9","15","16.2"
"18","Julian Edelman","NE","WR","234.2","15","15.6"
"19","Adrian Peterson","MIN","RB","232.7","14","16.6"
"20","Matt Ryan","ATL","QB","231.0","15","15.4"
"21","Ryan Tannehill","MIA","QB","230.4","15","15.4"
"22","Larry Fitzgerald","ARI","WR","218.9","15","14.6"
"23","Robert Griffin III","WAS","QB","213.0","13","16.4"
"24","Giovani Bernard","CIN","RB","210.6","15","14.0"
"25","Joe Flacco","BAL","QB","201.8","15","13.5"
"26","Le'Veon Bell","PIT","RB","200.3","12","16.7"
"27","T.Y. Hilton","IND","WR","194.4","15","13.0"
"28","Frank Gore","SF","RB","189.5","15","12.6"
"29","Jason Witten","DAL","TE","180.6","15","12.0"
"30","Seattle Seahawks","SEA","DST","180.0","15","12.0"
"31","Geno Smith","NYJ","QB","176.9","15","11.8"
"31","Emmanuel Sanders","PIT","WR","176.9","15","11.8"
"33","Kansas City Chiefs","KC","DST","175.0","15","11.7"
"34","Greg Olsen","CAR","TE","174.4","15","11.6"
"35","Carolina Panthers","CAR","DST","172.0","15","11.5"
"36","Marvin Jones Jr.","CIN","WR","171.6","15","11.4"
"37","Alfred Morris","WAS","RB","170.0","15","11.3"
"38","Arizona Cardinals","ARI","DST","166.0","15","11.1"
"39","Stephen Gostkowski","NE","K","164.0","15","10.9"
"40","Ryan Fitzpatrick","TEN","QB","163.2","10","16.3"
"41","Golden Tate","SEA","WR","159.8","15","10.7"
"42","Matt Prater","DEN","K","158.0","15","10.5"
"43","San Francisco 49ers","SF","DST","157.0","15","10.5"
"44","Justin Tucker","BAL","K","153.0","15","10.2"
"45","Aaron Rodgers","GB","QB","152.3","8","19.0"
"46","Cincinnati Bengals","CIN","DST","152.0","15","10.1"
"47","Stephen Hauschka","SEA","K","151.0","15","10.1"
"48","Mason Crosby","GB","K","148.0","15","9.9"
"49","Chad Henne","JAC","QB","146.1","14","10.4"
"50","Mike Glennon","TB","QB","143.2","12","11.9"
